smiles,logA_stoch_mean,logA_stoch_std,C_stoch_mean,C_stoch_std,B_stoch_mean,B_stoch_std,fail_count,n_data,kl_div_two_normal_dists,MAE_stoch,MAE_db_and_sampled_hov,logA_det,C_det,B_det,MAE_det
C,10.105,71.994,0.65,3.9,-55.3,754.3,30,3,0.003,7.8,0.2,1.244,0.21,171.6,0.0
C#C,1.813,93.469,0.0,5.08,200.6,52.4,0,13,0.015,6.32,0.19,2.729,0.02,-7059.9,3.4
C#CC,-0.024,40.679,0.16,2.25,279.6,323.0,2,14,0.008,14.66,1.64,1.24,0.36,401.6,0.17
C#CC#C,-0.005,25.597,-0.01,1.41,349.0,53.9,0,19,0.005,18.26,1.41,2.028,0.24,396.1,0.87
C#CC#CC,1.533,0.203,0.36,0.04,504.5,5.7,0,28,0.012,0.19,1.56,1.399,0.38,509.0,0.03
C#CC#CC#C,1.588,0.207,0.4,0.04,528.8,5.2,0,29,0.011,0.31,1.9,1.513,0.41,532.0,0.21
C#CC#CC#CC#C,1.592,0.239,0.41,0.04,674.4,4.7,0,23,0.012,0.54,2.48,1.526,0.43,677.0,0.46
C#CC#CC#CC#CC#C,1.53,0.194,0.42,0.04,733.3,5.2,0,26,0.014,0.35,2.38,1.441,0.43,737.0,0.21
C#CC#CC#CC#CC#CC#C,1.722,0.3,0.41,0.05,814.2,8.1,0,13,0.017,0.77,2.77,1.616,0.42,820.0,0.55
C#CC#CCC,1.553,0.196,0.39,0.04,547.3,4.3,0,31,0.015,0.37,1.9,1.447,0.41,550.0,0.24
C#CC(=C)C,1.467,0.224,0.35,0.04,473.9,4.6,0,27,0.011,0.12,1.41,1.385,0.36,475.8,0.03
C#CC(=O)OC,1.553,0.175,0.37,0.03,532.1,4.6,0,30,0.013,0.26,1.7,1.432,0.39,535.0,0.06
C#CC(=O)OCC,1.569,0.228,0.38,0.04,590.7,6.2,0,19,0.008,0.26,1.85,1.454,0.4,595.4,0.09
C#CC(=O)Oc1ccc(C(C)(C)c2ccc(OC(=O)C#C)cc2)cc1,1.14,0.413,0.56,0.07,878.3,12.6,0,26,0.014,1.18,3.83,1.167,0.55,878.0,1.14
C#CC(=O)Oc1ccc(OC(=O)C#C)cc1,1.532,0.254,0.46,0.05,798.3,8.0,0,20,0.009,0.61,2.9,1.445,0.48,803.0,0.48
C#CC(=O)Oc1ccc(Oc2ccc(OC(=O)C#C)cc2)cc1,2.186,0.261,0.38,0.05,873.0,8.9,0,26,0.013,0.57,4.01,2.02,0.41,880.9,0.4
C#CC(=O)Oc1ccc2ccc(OC(=O)C#C)cc2c1,1.479,0.244,0.48,0.04,876.1,7.1,0,24,0.012,0.87,3.09,1.448,0.49,879.0,0.79
C#CC(=O)Oc1ccc2cccc(OC(=O)C#C)c2c1,1.445,0.189,0.49,0.03,875.9,5.8,0,26,0.015,0.77,3.28,1.382,0.5,879.0,0.67
C#CC(=O)Oc1cccc2c(OC(=O)C#C)cccc12,1.479,0.247,0.48,0.04,874.1,7.6,0,22,0.014,0.91,2.94,1.42,0.49,879.0,0.78
C#CC(C)(C)C,1.576,0.364,0.29,0.07,501.9,16.6,0,18,0.016,0.22,1.17,1.459,0.31,507.3,0.07
C#CC(C)(C)C#C,1.734,0.222,0.38,0.04,565.6,6.3,0,18,0.015,0.51,2.26,1.525,0.41,570.0,0.17
C#CC(C)(C)CC,1.594,0.238,0.32,0.05,542.1,6.1,0,31,0.011,0.14,1.37,1.494,0.33,544.5,0.08
C#CC(C)(C)CCC(C)(C)C#C,1.633,0.234,0.36,0.04,633.8,7.1,0,21,0.013,0.2,1.89,1.518,0.38,639.0,0.07
C#CC(C)(C)O,1.645,0.22,0.38,0.04,552.6,5.0,0,30,0.011,0.38,1.74,1.483,0.41,556.0,0.1
C#CC(C)(CC)CC,1.672,0.376,0.31,0.07,580.5,11.6,0,19,0.014,0.35,1.54,1.536,0.34,584.8,0.07
C#CC(C)(O)CC,1.612,0.24,0.38,0.05,571.7,6.3,0,18,0.007,0.35,2.04,1.489,0.4,576.0,0.17
C#CC(C)(O)CC(C)C,1.562,0.26,0.39,0.05,617.0,7.2,0,20,0.016,0.21,1.93,1.463,0.4,622.0,0.09
C#CC(C)(O)CCC,1.583,0.226,0.39,0.04,592.7,6.3,0,19,0.011,0.31,2.03,1.491,0.41,597.0,0.18
C#CC(C)(O)CCC=C(C)C,2.22,0.307,0.32,0.06,629.3,10.3,0,21,0.015,0.74,2.11,2.171,0.33,630.9,0.77
C#CC(C)(O)CCCC(C)C,1.597,0.205,0.42,0.04,655.2,4.7,0,22,0.009,0.54,2.51,1.567,0.42,658.0,0.48
C#CC(C)(O)CCCC(C)CCCC(C)C,3.609,0.09,0.04,0.02,712.5,16.7,0,30,0.01,1.84,0.94,3.619,0.03,722.0,1.07
C#CC(C)(O)CCCC(C)CCCC(C)CCCC(C)C,1.526,0.358,0.47,0.07,765.7,7.4,0,12,0.008,0.89,3.49,1.436,0.49,770.0,0.68
C#CC(C)(O)c1ccccc1,1.676,0.235,0.4,0.04,750.6,6.9,0,23,0.011,0.37,2.53,1.578,0.42,755.0,0.19
C#CC(C)=CCC,1.529,0.176,0.37,0.03,543.0,4.4,0,31,0.013,0.19,1.69,1.421,0.39,546.0,0.04
C#CC(C)C,1.663,0.345,0.28,0.07,480.5,14.6,0,27,0.011,0.23,1.23,1.556,0.31,483.4,0.12
C#CC(C)C(C)(O)CCCC(C)C,1.624,0.238,0.45,0.04,682.5,5.5,0,24,0.013,0.99,3.2,1.647,0.45,683.0,1.01
C#CC(C)CC,1.606,0.268,0.32,0.05,517.6,14.5,0,28,0.012,0.26,1.28,1.42,0.35,524.0,0.13
C#CC(C)O,1.551,0.159,0.37,0.03,553.0,3.4,0,32,0.009,0.24,1.79,1.473,0.39,555.0,0.08
C#CC(CC)CC,1.701,0.284,0.31,0.05,551.8,9.6,0,17,0.011,0.19,1.5,1.538,0.34,556.9,0.04
C#CC(O)(CC)CC,1.543,0.278,0.39,0.05,601.0,5.7,0,20,0.017,0.36,2.07,1.467,0.41,603.0,0.15
C#CC(O)C1CC=CCC1,1.688,0.249,0.44,0.05,688.8,5.0,0,24,0.01,0.93,3.14,1.683,0.44,691.0,0.79
C#CC(O)C1CC=CCC1C,1.874,0.54,0.41,0.09,670.7,28.4,0,22,0.016,0.98,5.13,1.464,0.48,683.8,0.56
C#CC(OC(C)=O)C1CC=CCC1,1.645,0.254,0.44,0.05,691.3,6.7,0,24,0.013,0.95,3.07,1.612,0.44,693.0,0.89
C#CC(OC(C)=O)C1CC=CCC1C,1.648,0.23,0.42,0.04,693.9,7.0,0,21,0.009,0.51,2.71,1.576,0.43,699.0,0.38
C#CC1(C#C)CC1,1.535,0.213,0.37,0.04,582.2,5.1,0,19,0.015,0.3,1.82,1.427,0.39,584.2,0.06
C#CC1(O)CCCCC1,1.721,0.226,0.37,0.04,683.4,6.7,0,21,0.014,0.42,2.12,1.568,0.39,689.0,0.08
C#CC1(OC(=O)c2ccc(C3CCCCC3)cc2)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,1.441,0.347,0.55,0.06,983.1,6.1,0,12,0.011,1.63,4.76,1.462,0.54,985.0,1.7
C#CC1=CCCC1,1.634,0.258,0.35,0.05,613.5,8.1,0,20,0.011,0.18,1.78,1.53,0.37,617.9,0.07
C#CC1C=CCC1,1.608,0.302,0.35,0.06,567.3,9.5,0,18,0.011,0.19,1.71,1.47,0.38,572.7,0.04
C#CC1CCCC1,1.663,0.348,0.35,0.07,573.7,13.7,0,18,0.009,0.21,1.71,1.476,0.38,581.4,0.05
C#CC1CCCCC1,1.626,0.269,0.38,0.05,609.2,8.0,0,20,0.015,0.24,2.05,1.511,0.4,614.1,0.12
C#CC=C,1.434,0.125,0.34,0.02,444.6,3.6,0,25,0.011,0.07,0.74,1.373,0.35,446.2,0.03
C#CC=C1CC=CCC1,1.737,0.264,0.4,0.05,634.4,7.3,0,21,0.012,0.58,2.58,1.58,0.43,640.0,0.42
C#CC=C1CC=CCC1C,1.701,0.246,0.41,0.05,646.5,5.6,0,22,0.014,0.57,2.65,1.605,0.42,651.0,0.36
C#CC=CC,1.555,0.217,0.33,0.04,503.2,5.5,0,28,0.009,0.13,1.43,1.452,0.35,505.9,0.05
C#CC=CC=C,1.571,0.225,0.36,0.04,546.1,5.9,0,31,0.011,0.18,1.61,1.441,0.38,551.0,0.03
C#CC=Cc1ccccc1,1.642,0.186,0.41,0.03,748.1,4.4,0,27,0.013,0.56,2.63,1.601,0.41,751.0,0.45
C#CC=O,1.399,0.233,0.33,0.04,560.7,6.4,0,18,0.014,0.24,1.29,1.319,0.35,563.2,0.15
C#CCC,1.149,0.117,0.4,0.02,459.8,1.6,0,18,0.011,0.46,0.48,1.141,0.4,460.1,0.38
C#CCC#CC,1.74,0.434,0.27,0.08,584.9,18.1,0,19,0.008,0.3,1.23,1.598,0.3,591.3,0.17
C#CCC#CCCCCCC(=O)O,1.693,0.289,0.49,0.05,752.9,9.2,0,27,0.009,2.26,4.48,1.713,0.49,752.0,2.12
C#CCC#Cc1ccccc1,1.57,0.191,0.42,0.04,729.5,5.0,0,26,0.013,0.5,2.53,1.497,0.43,733.0,0.36
C#CCC(C)(C)C,1.485,0.282,0.35,0.05,532.7,9.6,0,20,0.008,0.19,1.42,1.372,0.37,539.3,0.07
C#CCC(C)(O)C=C,1.61,0.225,0.38,0.04,641.3,5.5,0,22,0.013,0.38,2.19,1.542,0.39,644.0,0.17
C#CCC(C)(O)CC#C,1.663,0.201,0.39,0.04,666.1,5.8,0,23,0.016,0.44,2.32,1.527,0.41,671.0,0.25
C#CCC(C)C,1.523,0.208,0.34,0.04,518.2,6.1,0,20,0.015,0.4,1.3,1.385,0.36,521.4,0.11
C#CCC(C)CC,1.665,0.368,0.33,0.07,549.9,11.8,0,17,0.019,0.17,1.43,1.509,0.35,556.1,0.03
C#CCC(C)O,1.619,0.275,0.38,0.05,582.8,6.1,0,19,0.012,0.43,2.08,1.498,0.4,586.0,0.15
C#CCC(O)C(C)C,1.629,0.244,0.38,0.05,633.0,7.2,0,21,0.012,0.32,2.01,1.536,0.39,638.0,0.17
C#CCC(O)C=C,1.362,0.355,0.46,0.07,601.5,5.9,0,19,0.014,1.16,2.23,1.432,0.44,602.0,1.28
C#CCC(O)CC,1.568,0.288,0.39,0.06,612.1,7.3,0,20,0.008,0.29,2.06,1.486,0.4,616.0,0.16
C#CCC(O)CC#C,1.508,0.224,0.42,0.04,655.5,6.7,0,22,0.013,0.31,2.24,1.422,0.43,660.0,0.18
C#CCC(O)CCC,1.568,0.263,0.41,0.05,614.5,6.9,0,20,0.013,0.38,2.3,1.472,0.42,620.0,0.24
C#CCC1CCCC1,1.665,0.238,0.34,0.04,627.6,7.6,0,21,0.013,0.18,1.68,1.579,0.35,631.3,0.07
C#CCC1CCCCC1,1.652,0.206,0.37,0.04,629.6,5.9,0,21,0.011,0.19,2.07,1.551,0.39,633.5,0.12
C#CCC=C,1.594,0.307,0.33,0.06,485.4,8.6,0,27,0.01,0.21,1.38,1.407,0.36,491.6,0.02
C#CCCC,1.546,0.33,0.33,0.06,491.9,11.6,0,18,0.015,0.2,1.25,1.367,0.36,497.6,0.06
C#CCCC#C,1.256,0.29,0.4,0.06,585.3,4.1,1,18,0.016,1.08,1.47,1.173,0.41,587.0,1.04
C#CCCC(C)C,1.429,0.232,0.38,0.04,552.4,6.4,0,22,0.019,0.33,1.56,1.386,0.38,555.8,0.23
C#CCCC=C,1.588,0.211,0.35,0.04,519.6,6.0,0,28,0.011,0.2,1.51,1.434,0.38,523.9,0.04
C#CCCCC,1.343,0.129,0.4,0.02,531.2,3.1,0,21,0.01,0.47,0.55,1.291,0.41,533.5,0.46
C#CCCCC#C,1.534,0.222,0.35,0.04,604.3,5.6,0,23,0.011,0.17,1.53,1.485,0.36,606.8,0.12
C#CCCCC(=O)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,1.285,0.483,0.54,0.09,843.9,9.7,0,12,0.009,0.89,4.42,1.242,0.55,848.0,0.83
C#CCCCCC,1.462,0.133,0.39,0.03,562.1,3.1,0,21,0.013,0.4,0.97,1.392,0.4,563.8,0.36
C#CCCCCC#C,1.325,0.438,0.45,0.08,632.3,14.5,0,21,0.012,1.43,2.32,1.448,0.43,630.1,1.44
C#CCCCCC(C(=O)O)C(=O)O,1.221,0.456,0.56,0.08,766.6,8.0,0,12,0.01,1.33,4.22,1.21,0.56,768.0,1.27
C#CCCCCC(C(=O)OCC)C(=O)OCC,1.47,0.423,0.48,0.07,725.2,13.8,0,26,0.014,0.9,3.34,1.507,0.47,724.0,0.83
C#CCCCCCC,1.478,0.066,0.4,0.01,590.4,1.0,0,22,0.015,0.37,0.52,1.474,0.4,590.7,0.36
C#CCCCCCCC,1.584,0.042,0.39,0.01,614.2,0.6,0,20,0.01,0.39,0.28,1.556,0.4,614.3,0.38
C#CCCCCCCCC,1.6,0.26,0.4,0.05,627.1,5.5,0,21,0.01,0.59,2.4,1.524,0.41,630.7,0.44
C#CCCCCCCCC(=O)O,1.66,0.303,0.47,0.05,727.5,7.0,0,24,0.01,0.99,3.94,1.65,0.47,728.0,0.96
C#CCCCCCCCCC,1.538,0.224,0.43,0.04,660.5,4.7,0,22,0.012,0.86,2.43,1.409,0.45,662.3,0.71
C#CCCCCCCCCC(=O)O,1.453,0.35,0.47,0.06,766.9,10.1,0,25,0.011,0.5,3.14,1.483,0.46,767.0,0.57
C#CCCCCCCCCCC,1.522,0.211,0.43,0.04,697.2,5.2,0,24,0.008,0.58,2.49,1.488,0.43,700.0,0.5
C#CCCCCCCCCCCC,1.521,0.222,0.42,0.04,713.8,5.5,0,24,0.015,0.33,2.48,1.484,0.43,717.0,0.27
C#CCCCCCCCCCCCC,1.393,0.239,0.47,0.04,696.9,5.4,0,24,0.013,0.46,2.68,1.354,0.48,699.8,0.4
C#CCCCCCCCCCCCCC,1.855,0.187,0.38,0.03,748.2,6.8,0,27,0.011,0.66,2.67,1.812,0.38,750.2,0.65
C#CCCCCCCCCCCCCCC,1.532,0.245,0.45,0.04,747.4,6.0,0,25,0.01,0.57,3.03,1.503,0.45,750.0,0.42
C#CCCCCCCCCCCCCCCC,1.915,0.357,0.4,0.06,755.2,12.0,0,12,0.014,1.4,3.27,1.8,0.41,762.6,1.02
C#CCCCCCCCCCCCCCCCC,1.468,0.37,0.47,0.07,781.1,7.9,0,12,0.012,0.71,3.05,1.441,0.47,786.0,0.63
C#CCCCCCCCCCCCCCCCCC,1.109,0.559,0.55,0.1,765.5,10.8,0,12,0.016,0.89,3.53,1.103,0.55,767.0,0.86
C#CCCCCCCCCCCCCCCCCCC,1.341,0.458,0.53,0.08,779.1,9.3,0,12,0.016,1.22,3.81,1.305,0.53,780.0,1.16
C#CCCCCCCCCCO,1.618,0.327,0.49,0.06,705.7,10.1,0,25,0.013,1.79,4.12,1.668,0.49,704.0,1.67
C#CCCCCO,1.607,0.241,0.42,0.05,646.1,4.3,0,22,0.016,0.61,2.74,1.543,0.43,648.0,0.44
C#CCCCO,1.574,0.248,0.42,0.05,624.2,5.1,0,21,0.006,0.53,2.47,1.505,0.43,628.0,0.31
C#CCCO,1.488,0.252,0.43,0.05,596.9,5.9,0,21,0.012,0.68,2.4,1.399,0.45,600.0,0.58
C#CCCc1ccccc1,1.537,0.243,0.38,0.04,671.8,7.0,0,23,0.014,0.21,1.97,1.429,0.4,677.0,0.06
C#CCO,1.499,0.263,0.43,0.05,565.4,4.6,0,19,0.01,0.66,2.16,1.388,0.45,568.0,0.48
C#CCOC(C)=O,1.561,0.289,0.38,0.06,595.6,7.9,0,19,0.013,0.23,1.98,1.438,0.4,600.7,0.09
C#CCOC(C)c1ccc(OC)cc1,1.47,0.219,0.47,0.04,748.3,4.3,0,27,0.01,0.7,3.11,1.455,0.47,750.0,0.64
C#COC,1.473,0.216,0.34,0.04,442.7,5.6,0,25,0.01,0.15,1.36,1.348,0.36,445.8,0.03
C#Cc1c(C)cc(C)cc1C,1.461,0.217,0.39,0.04,739.3,5.6,0,27,0.011,0.29,2.01,1.43,0.4,741.6,0.08
C#Cc1ccc(C(C)C)cc1,1.605,0.193,0.41,0.04,710.2,5.0,0,25,0.015,0.51,2.51,1.55,0.42,713.0,0.39
C#Cc1ccc(C)cc1,1.538,0.226,0.42,0.04,690.9,5.0,0,24,0.014,0.43,2.41,1.487,0.42,694.0,0.26
C#Cc1ccc(C=C)cc1,1.705,0.368,0.36,0.07,752.7,16.5,0,12,0.006,0.47,2.08,1.57,0.38,758.7,0.14
C#Cc1ccc(OCCCCCCCCCCOc2ccc(C#C)cc2)cc1,1.171,0.433,0.57,0.08,893.9,9.6,0,12,0.012,1.12,4.6,1.077,0.58,899.0,0.99
C#Cc1ccc(OCCCCCCCCCOc2ccc(C#C)cc2)cc1,1.1,0.437,0.57,0.08,890.5,8.2,0,13,0.013,1.16,4.64,1.107,0.57,894.0,1.09
C#Cc1ccc(OCCCCCCCCOc2ccc(C#C)cc2)cc1,1.243,0.393,0.55,0.07,884.3,8.4,0,12,0.009,1.07,4.05,1.154,0.56,889.0,0.94
C#Cc1ccc(OCCCCCCOc2ccc(C#C)cc2)cc1,1.142,0.288,0.55,0.05,878.5,6.6,0,26,0.009,1.03,3.6,1.166,0.55,879.0,1.06
C#Cc1ccc(OCCCCCOc2ccc(C#C)cc2)cc1,2.139,0.34,0.39,0.06,866.7,9.1,0,12,0.01,0.87,3.93,2.021,0.4,873.6,0.69
C#Cc1ccc(OCCCCOc2ccc(C#C)cc2)cc1,2.167,0.238,0.37,0.04,862.9,8.0,0,26,0.015,0.48,3.62,2.058,0.39,866.8,0.33
C#Cc1ccc(OCCCOc2ccc(C#C)cc2)cc1,2.183,0.259,0.36,0.05,852.3,10.0,0,25,0.008,0.44,3.5,2.031,0.39,860.1,0.26
C#Cc1ccc(OCCOc2ccc(C#C)cc2)cc1,2.145,0.251,0.36,0.04,848.8,10.1,0,23,0.013,0.29,3.29,2.023,0.38,854.1,0.07
C#Cc1cccc2ccccc12,1.563,0.303,0.39,0.05,824.6,9.7,0,13,0.025,0.29,2.14,1.449,0.41,831.8,0.14
C#Cc1ccccc1,1.456,0.038,0.4,0.01,650.5,1.7,0,23,0.012,0.26,0.26,1.432,0.4,651.1,0.27
C#Cc1ccccc1C#C,1.641,0.199,0.42,0.04,725.8,3.9,0,26,0.015,0.62,2.8,1.592,0.43,728.0,0.51
C#Cc1ccccc1O,1.549,0.289,0.44,0.05,757.3,6.7,0,13,0.009,0.94,3.16,1.53,0.44,760.0,0.78
C#Cc1ccco1,1.553,0.257,0.37,0.05,576.9,7.7,0,18,0.013,0.17,1.68,1.413,0.39,582.0,0.06
C(#CC1=CCCCC1)C1=CCCC1,1.768,0.554,0.42,0.09,722.9,30.1,0,24,0.015,0.65,4.58,1.346,0.48,745.2,0.56
C(#CC1C=CCCC1)c1ccccc1,1.677,0.384,0.4,0.07,777.7,13.6,0,12,0.007,0.61,2.52,1.539,0.43,785.0,0.45
C(=C(c1ccccc1)c1ccccc1)c1ccccc1,0.798,0.874,0.58,0.14,927.8,36.6,0,16,0.013,3.31,3.97,0.943,0.56,915.1,3.23
C(=C1c2ccccc2-c2ccccc21)c1ccccc1,1.817,0.255,0.4,0.04,960.1,5.8,0,16,0.014,0.89,3.33,1.707,0.42,965.0,0.84
C(=CC=Cc1ccccc1)C=Cc1ccccc1,1.485,0.233,0.45,0.04,857.4,9.1,0,21,0.008,0.52,2.71,1.354,0.47,863.0,0.35
C(=CCCc1ccccc1)CCc1ccccc1,1.509,0.319,0.47,0.06,821.6,6.8,0,13,0.012,0.76,3.44,1.509,0.47,825.0,0.72
C(=CCc1ccccc1)CCc1ccccc1,1.522,0.304,0.47,0.05,819.6,6.7,0,13,0.017,0.77,3.32,1.519,0.47,823.0,0.7
C(=CCc1ccccc1)Cc1ccccc1,1.547,0.227,0.46,0.04,794.5,6.3,0,26,0.011,0.65,3.24,1.462,0.47,798.0,0.49
C(=Cc1ccccc1)CCC=Cc1ccccc1,1.511,0.357,0.45,0.06,876.3,13.0,0,14,0.016,0.61,3.08,1.454,0.46,883.0,0.47
C(=Cc1ccccc1)CCc1ccccc1,1.555,0.318,0.44,0.06,823.9,8.2,0,12,0.015,0.43,2.9,1.464,0.45,829.0,0.29
C(=Cc1ccccc1)Cc1ccccc1,1.599,0.346,0.44,0.06,818.9,9.9,0,13,0.012,0.58,3.14,1.562,0.44,826.0,0.42
C(=Cc1ccccc1)c1ccccc1,1.647,0.242,0.4,0.04,828.3,7.5,0,24,0.016,0.36,2.51,1.559,0.42,832.0,0.19
C(C#Cc1ccccc1)#Cc1ccccc1,1.992,0.533,0.32,0.09,916.7,27.3,0,13,0.017,0.21,2.33,1.925,0.33,921.6,0.18
C(C=CC=Cc1ccccc1)=CC=Cc1ccccc1,1.36,0.284,0.48,0.05,853.9,7.3,0,19,0.01,0.74,2.75,1.222,0.5,858.0,0.54
C(C=Cc1ccccc1)=Cc1ccccc1,1.55,0.24,0.42,0.04,820.5,8.6,0,21,0.017,0.36,2.29,1.422,0.45,826.0,0.19
C(CC1CCCC1)=C(CCC1CCCC1)CCC1CCCC1,1.402,0.442,0.52,0.08,813.0,8.8,0,13,0.012,1.52,3.76,1.466,0.51,814.0,1.45
C(CC1CCCCC1)=C(CCC1CCCCC1)CCC1CCCCC1,1.3,0.357,0.54,0.06,864.7,5.7,0,15,0.01,1.17,4.42,1.299,0.54,866.0,1.13
C(CCC1CCCC1)=C(CCCC1CCCC1)CCCC1CCCC1,1.109,0.333,0.57,0.06,846.0,7.4,0,15,0.013,1.12,4.34,1.087,0.58,849.0,1.07
C(CCC1CO1)CC1CO1,1.954,0.197,0.35,0.04,714.7,4.4,0,25,0.014,1.01,2.47,1.925,0.36,717.0,0.97
C(CCCC1CCCCC1)CCC1CCCCC1,1.507,0.321,0.47,0.06,809.3,4.7,0,13,0.012,0.93,3.42,1.479,0.48,811.0,0.85
C(CCCCCC1CCC2CCCC2C1)CCCCC1CCC2CCCC2C1,0.794,1.258,0.66,0.19,884.4,47.0,0,14,0.014,3.9,5.09,1.179,0.6,872.1,3.62
C(CCCCCC1CCCC2CCCCC12)CCCCC1CCCC2CCCCC12,1.221,0.488,0.58,0.08,911.2,11.0,1,14,0.011,1.72,5.42,1.36,0.56,909.0,1.55
C(CCCOC1CCCCC1)CCOC1CCCCC1,1.359,0.445,0.56,0.08,791.9,7.7,0,12,0.011,1.54,4.67,1.346,0.56,794.0,1.5
C(CCCOCC1CCC1)CCOCC1CCC1,1.409,0.224,0.52,0.04,740.0,3.7,0,26,0.013,0.85,3.75,1.379,0.52,741.0,0.76
C(CCCOCC1CCCC1)CCOCC1CCCC1,1.768,0.636,0.45,0.11,744.9,36.8,0,11,0.009,1.14,5.24,1.266,0.53,766.1,0.74
C(CCCOCCC1CCCCC1)CCOCCC1CCCCC1,1.103,0.368,0.58,0.06,832.3,5.6,0,13,0.013,1.06,4.09,1.088,0.58,834.0,1.02
C(Cc1ccccc1)=C(c1ccccc1)c1ccccc1,1.849,0.313,0.41,0.05,928.5,9.4,0,15,0.008,1.36,3.74,1.76,0.43,934.0,1.25
C1#CCCCCCC#CCCCCC1,1.799,0.258,0.39,0.05,799.2,8.5,0,23,0.008,0.34,2.64,1.693,0.41,805.0,0.17
C1#CCCCCCCC1,1.615,0.229,0.37,0.04,681.9,6.8,0,24,0.01,0.32,2.08,1.521,0.39,684.5,0.12
C1#CCCCCCCCCCC1,1.594,0.216,0.41,0.04,733.5,5.3,0,26,0.012,0.45,2.4,1.529,0.42,737.0,0.34
C1=C(C2CCCC2)CCC1,1.541,0.211,0.4,0.04,687.0,4.2,0,27,0.013,0.52,2.34,1.493,0.41,689.0,0.42
C1=C(C2CCCCC2)CCCC1,1.595,0.187,0.41,0.03,735.1,5.3,0,26,0.011,0.5,2.49,1.548,0.42,738.0,0.41
C1=C(CCc2ccccc2)CCC1,1.588,0.192,0.42,0.04,731.7,4.8,0,26,0.014,0.55,2.68,1.508,0.44,735.0,0.43
C1=C(CCc2ccccc2)c2ccccc2CC1,1.55,0.351,0.47,0.06,858.8,7.8,0,13,0.01,0.85,3.79,1.518,0.48,862.0,0.69
C1=C(Cc2ccccc2)CCC1,1.646,0.177,0.4,0.03,729.1,5.5,0,26,0.008,0.49,2.47,1.596,0.41,733.0,0.35
C1=C(Cc2ccccc2)CCCC1,1.658,0.206,0.39,0.04,750.1,4.3,0,27,0.011,0.46,2.43,1.595,0.4,753.0,0.31
C1=C(Cc2ccccc2)CCc2ccccc21,1.424,0.367,0.52,0.06,847.0,7.6,0,13,0.017,1.17,4.05,1.419,0.52,850.0,1.15
C1=C(c2cccc3ccccc23)CCC1,1.598,0.308,0.44,0.05,856.2,8.8,0,14,0.011,0.89,3.19,1.57,0.44,860.0,0.67
C1=C(c2ccccc2)C=C(c2ccccc2)CC(c2ccccc2)=C1,1.951,0.227,0.4,0.04,1015.1,7.4,0,16,0.018,1.21,3.78,1.857,0.42,1021.0,1.1
C1=C(c2ccccc2)CCC1,1.61,0.189,0.4,0.04,729.0,4.3,0,26,0.015,0.39,2.42,1.538,0.41,732.0,0.24
C1=C(c2ccccc2)CCCC1,1.649,0.375,0.44,0.07,753.5,7.1,0,12,0.008,1.06,3.28,1.618,0.44,756.0,0.89
C1=C(c2ccccc2)Cc2ccccc21,2.124,0.597,0.35,0.09,870.3,31.6,0,14,0.009,3.74,3.33,2.241,0.33,866.0,3.01
C1=C(c2ccccc2)c2ccccc2CC1,1.614,0.283,0.44,0.05,858.3,7.4,0,14,0.013,0.97,3.2,1.548,0.45,862.0,0.76
C1=C2CCCC(CC1)C2,1.615,0.218,0.37,0.04,682.0,4.5,0,24,0.011,0.32,2.08,1.513,0.39,683.9,0.06
C1=C2CCCCC2CCC1,1.646,0.197,0.38,0.04,686.1,5.4,0,24,0.01,0.4,2.2,1.549,0.4,690.0,0.19
C1=CC(=C(c2ccccc2)c2ccccc2)C=C1,1.513,0.239,0.44,0.04,829.9,7.2,0,26,0.014,0.47,2.72,1.395,0.46,835.0,0.31
C1=CC(C2C=CCCC2)CCC1,1.666,0.194,0.38,0.03,741.6,5.9,0,27,0.009,0.44,2.33,1.572,0.4,745.0,0.25
C1=CC(C2CCCC2)CC1,1.581,0.181,0.39,0.03,683.0,3.1,1,26,0.009,0.38,2.26,1.517,0.4,685.0,0.27
C1=CC(OC2C=CCC2)CC1,1.634,0.211,0.36,0.04,710.5,7.0,0,25,0.013,0.15,1.83,1.572,0.37,713.7,0.1
C1=CC(c2ccccc2)CCC1,1.659,0.192,0.41,0.03,743.5,5.2,0,27,0.013,0.65,2.71,1.606,0.42,747.0,0.5
C1=CC(c2ccccc2)c2ccccc21,1.652,0.333,0.41,0.06,855.6,12.1,0,14,0.012,0.65,2.81,1.538,0.43,860.0,0.4
C1=CC1,1.397,0.293,0.32,0.06,394.2,7.1,0,23,0.013,0.07,1.1,1.323,0.34,396.6,0.04
C1=CC1C1C=C1,1.597,0.294,0.33,0.06,564.2,8.8,0,18,0.018,0.18,1.44,1.492,0.35,569.0,0.07
C1=CC2(CCC1)CCCC2,1.694,0.164,0.37,0.03,684.7,5.0,0,24,0.016,0.4,2.12,1.546,0.39,688.0,0.15
C1=CC2C(C1)C1CC2C2C3C=CC(C3)C12,1.742,0.19,0.37,0.03,821.2,7.2,0,26,0.016,0.38,2.24,1.625,0.38,826.0,0.07
C1=CC2C3C4C1C1C2C1C43,1.46,0.209,0.4,0.04,766.0,6.4,1,24,0.011,0.64,2.02,1.393,0.41,769.0,0.52
C1=CC2C3C=CC(CC3)C2CC1,1.742,0.39,0.37,0.07,759.3,15.8,0,12,0.017,0.53,2.29,1.601,0.39,768.0,0.24
