smiles,logA_stoch_mean,logA_stoch_std,C_stoch_mean,C_stoch_std,B_stoch_mean,B_stoch_std,fail_count,n_data,kl_div_two_normal_dists,MAE_stoch,MAE_db_and_sampled_hov,logA_det,C_det,B_det,MAE_det
C=CCc1ccc(OC)c(O)c1,1.785,0.224,0.4,0.04,730.2,7.8,0,26,0.014,1.2,2.83,1.812,0.4,729.4,1.21
C=CCc1ccc(OC)cc1,1.566,0.178,0.42,0.03,696.6,5.0,0,24,0.011,0.44,2.24,1.537,0.42,700.0,0.38
C=CCc1ccc2c(c1)OCO2,1.633,0.186,0.42,0.03,729.5,5.5,0,26,0.011,0.68,2.12,1.584,0.42,734.0,0.52
C=CCc1cccc(C)c1,1.62,0.193,0.39,0.04,665.8,4.2,0,23,0.01,0.41,2.34,1.554,0.4,669.0,0.24
C=CCc1cccc2ccccc12,1.644,0.514,0.42,0.09,782.5,21.1,0,12,0.013,0.66,2.58,1.516,0.44,793.0,0.45
C=CCc1ccccc1C,1.535,0.205,0.42,0.04,653.4,4.6,0,22,0.01,0.68,2.42,1.438,0.44,656.0,0.57
C=CCc1ccccc1CC=C,1.598,0.219,0.41,0.04,690.0,5.1,0,24,0.01,0.48,2.55,1.555,0.42,693.0,0.38
C=CO,1.416,0.223,0.41,0.04,498.4,4.1,0,27,0.012,0.27,1.72,1.348,0.42,501.0,0.18
C=COC,1.543,0.38,0.33,0.08,434.5,18.4,0,24,0.012,0.23,1.29,1.347,0.36,440.6,0.02
C=COC(=C)C(C)C,1.509,0.192,0.38,0.04,524.4,4.1,0,29,0.013,0.24,1.67,1.399,0.4,528.0,0.07
C=COC(=C)CC(C)C,1.512,0.188,0.39,0.04,552.7,5.6,0,32,0.011,0.29,1.9,1.406,0.41,555.0,0.12
C=COC(=O)C(C)C,1.426,0.169,0.41,0.03,552.0,4.0,0,21,0.01,0.41,1.26,1.391,0.41,554.0,0.33
C=COC(=O)C=C,1.482,0.267,0.39,0.05,553.9,7.0,0,20,0.013,0.37,1.94,1.389,0.41,558.0,0.23
C=COC(=O)CC,1.451,0.092,0.4,0.02,544.4,1.7,0,20,0.011,0.28,0.71,1.427,0.4,545.4,0.24
C=COC(=O)CCC,1.524,0.248,0.4,0.05,572.6,6.3,0,18,0.011,0.35,2.01,1.412,0.42,576.0,0.2
C=COC(=O)CCC(=O)OC,1.55,0.291,0.44,0.05,644.7,4.1,0,22,0.014,0.67,2.89,1.553,0.44,647.0,0.6
C=COC(=O)CCCC(=O)OC,1.492,0.238,0.46,0.04,657.7,5.5,0,22,0.014,0.59,2.93,1.421,0.47,661.0,0.48
