DIPPR ID,Cp_liq_298K,smiles
3,,CCC
4,,CC(C)C
5,,CCCC
6,,CC1CCCC(C)(C)C1
7,,CCCCC
8,,CCC(C)C
11,,CCCCCC
12,,CCCC(C)C
13,,CCC(C)CC
14,,CCC(C)(C)C
15,,CC(C)C(C)C
17,,CCCCCCC
18,,CCCCC(C)C
19,,CCCC(C)CC
20,,CCC(CC)CC
21,,CCCC(C)(C)C
22,,CCC(C)C(C)C
23,,CC(C)CC(C)C
24,,CCC(C)(C)CC
25,,CC(C)C(C)(C)C
27,,CCCCCCCC
28,,CCCCCC(C)C
29,,CCCCC(C)CC
30,,CCCC(C)CCC
31,,CCCC(CC)CC
32,,CCCCC(C)(C)C
33,,CCCC(C)C(C)C
34,,CCC(C)CC(C)C
35,,CC(C)CCC(C)C
36,,CCCC(C)(C)CC
37,,CCC(C)C(C)CC
38,,CCC(CC)C(C)C
39,,CCC(C)(CC)CC
40,,CCC(C)C(C)(C)C
41,,CC(C)CC(C)(C)C
42,,CCC(C)(C)C(C)C
43,,CC(C)C(C)C(C)C
46,,CCCCCCCCC
47,,CC(C)CCC(C)(C)C
48,,CCC(C)CC(C)(C)CC
49,,CCC(C)(C)CC(C)C
50,,CCC(CC)(CC)CC
51,,CCC(C)(C)C(C)(C)C
52,,CC(C)C(C)C(C)(C)C
53,,CC(C)(C)CC(C)(C)C
54,,CC(C)C(C)(C)C(C)C
56,,CCCCCCCCCC
57,,CCCC(C)(C)C(C)(C)C
58,,CC(C)(C)CCC(C)(C)C
61,,CC(C)CC1CCCCC1
62,,CC(C)(C)C1CCCCC1
63,,CCCCCCCCCCC
64,,CCCCCCCCCCCC
65,,CCCCCCCCCCCCC
66,,CCCCCCCCCCCCCC
67,,CCCCCCCCCCCCCCC
68,,CCCCCCCCCCCCCCCC
69,,CCCCCCCCCCCCCCCCC
72,,CCCCCCC(C)(C)C
85,,CCCCCCC(C)CC
86,,CCCCCCCC(C)C
87,,CCCCCC(C)CCC
88,,CCCCC(C)CCCC
90,,CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C
91,,CCCCCCC(C)C
92,,CCCCCC(C)CC
93,,CCCCC(C)CCC
94,,CCCCC(CC)CC
96,,CCCCCC(C)(C)C
97,,CCCCCCCC(C)CC
98,,CCCCCCCCCC(C)CC
99,,CCCCCCCCCCC(C)CC
100,,CCCCCCCCC(C)CC
101,,C1CC1
102,,C1CCC1
104,,C1CCCC1
105,,CC1CCCC1
107,,CCC1CCCC1
108,,CC1(C)CCCC1
109,,C[C@H]1CCC[C@H]1C
110,,C[C@@H]1CCC[C@H]1C
111,,C[C@H]1CC[C@@H](C)C1
112,,C[C@@H]1CC[C@@H](C)C1
114,,CCCC1CCCC1
115,,CC(C)C1CCCC1
117,,CC1CCC(C)C1C
118,,CC1CCC(C)(C)C1
119,,CC1CC(C)C(C)C1
