smiles,Tc,Train/Valid/Test
CCCCCC(CCO)(c1ccccc1)c1ccccc1,,Train
CCC(OC(CC)C1CCCCC1C)C1CCCCC1C,,Train
COC(=O)CC(C)(C)C,,Train
CCCCCCCCCCCCCCC(C)CC(C)CC(C)C,,Test
CCCCCCCCCCCCCCCCCC(C)CC(C)C,,Train
CC(C)CC(c1ccccc1)(C1CCCCC1)C1CCCCC1,,Test
OCCC#CCCCO,,Train
C=CC(CCCCC)(c1ccccc1)c1ccccc1,,Train
CCCCCCC=CC(=O)OCCC,,Train
CCCCC(C)C(c1ccccc1)C(C)C(C(=O)O)c1ccccc1,,Train
CCOC(=O)c1cccc(OC)c1,,Train
CCCCCCC(CCC)CCCC,,Train
CC1CCC(C)(C)C1C,,Train
Cc1ccccc1-c1c(C)cccc1C,,Train
CCCCCCCCC1CCC2CCCCC2C1,,Train
C1C2CC3CC(CC1O3)O2,,Test
CC=CC(C)C(C)(C)C,,Train
CCC(C)=CC(C)(C)C,,Train
CCC(C)(C)C=C(C)C,,Train
CC(C)CCCC(C)(O)CCO,,Train
CC(C)CC(CCCCC(CC(C)C)CC(C)C)CC(C)C,,Train
CCCCCCCCCCCCCC(C)CC(C)CC(C)C,,Train
CCCCC(CC)CCCCCCCCC(CC)CCCC,,Train
C=CC(Cc1ccccc1)(Cc1ccccc1)c1ccccc1,,Train
CCCc1ccc(-c2ccccc2)cc1,,Test
CCCCCCCCCCC(CCCCC)CCCCCCCCC,,Valid
CCCCCCCCCCC(O)CC,,Test
C=CCC(C)(C)CC(C)C,,Train
C=C(C)CC(C)CC(C)C,,Train
CC(C)(C)CC(C)(C)c1ccc(C(C)(C)CC(C)(C)C)cc1,,Train
CCCCCCCCCC(C)(C)CC(=O)O,,Train
C#CCCCCC(C(=O)OCC)C(=O)OCC,,Valid
C#CCC#CCCCCCC(=O)O,,Train
CCCCCCCC(C)(C)O,,Train
CCCCCCCCCCC(CCCCCCC)CCCCCCCCC,,Train
CCCCCC(CC)C1CCC(C(CC)CCCCC)C2CCCCC12,,Valid
CCCCCCCCCCCCC(C)(C)CC(=O)O,,Train
CCCCCCCC(c1ccccc1)(C1CCCCC1)C1CCCCC1,,Train
CCCCCCOCC(O)CO,,Train
CCCCCCCOCC(O)CO,,Train
CC(C)(O)CCc1ccccc1,,Train
C1CCC(CC2(CC3CCCCC3)CCCCC2)CC1,,Train
CCCCC(CC)CCC(C)O,,Train
CCCCC(CC)COC(C)=O,,Train
CCCCCCC(C)C(C1CCCCC1)(C1CCCCC1)C1CCCCC1,,Train
C=CC(=O)OCC(CC)CCCC,,Train
COCC=O,,Train
CCCCCCCCCCC(CCCCCCCCC)CCCCCCCCC,,Train
Cc1cccc2c(C3=CCCC3)cccc12,,Train
CCCCCCCCCCCC(C)(C)CC(=O)O,,Train
CCC1CCC(c2ccccc2)CC1,,Train
CC1c2ccccc2C(C)C(C)C1C,,Train
CCCCC(CC)CCC(O)CC(C)C,,Train
CCCCC(CC)CCCCCCCCCCC(CC)CCCC,,Train
CCCCCCCCCCCCCCCC(CC(C)C)CC(C)C,,Test
CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,,Train
CC(=O)C(O)C1CC=CCC1C,,Test
COC(=O)C=Cc1ccccc1,,Train
C=CC(O)C1CC=CCC1C,,Train
CCCCCCCC(C1CCCC2CCCCC21)C1CCCC2CCCCC21,,Train
CCCCCCCCCC(C1CCCCC1)(C1CCCCC1)C1CCCCC1,,Train
c1ccc(CCc2ccccc2)cc1,,Train
O=C1CCCCCC(=O)CCCCC1,,Train
CCCCCCCCCCCCCC(O)CCC,,Train
C#CC(O)C1CC=CCC1C,,Train
CCCCCCC(C)CC(C)CC(C)C,,Train
CCCCCCCC(C)CC(C)CC(C)C,,Train
CCC1=C(CC)CCCC1,,Train
CCCCCCCCCCC(C1CCCCC1)(C1CCCCC1)C1CCCCC1,,Train
CC(=O)OCCc1ccccc1,,Train
CCCCCCCC(O)CC(C)C,,Train
CCCCCCC(O)C(C)CCC,,Train
CCCCCCCC(O)C(C)(C)C,,Train
CCCCCCC(O)C(C)(C)CC,,Train
CCC(C=O)CC(C)C,,Train
c1ccc(COCc2ccccc2)cc1,,Train
OCCC(O)c1ccccc1,,Test
CCCc1ccccc1,,Train
CCCCCCCCCCCC1CCC1,,Train
CCOc1ccccc1,,Train
CC12CCC(C(=O)C1=O)C2(C)C,,Train
CCCCCCC=CCCCCCC,,Train
CCCCCCCCCCCCC(O)CCCCCCC,,Train
CCCCCCC(C)(c1ccccc1)c1ccccc1,,Train
CCOC1CCC=CO1,,Train
CC(=O)CC1CCCCC1,,Train
CC(=O)Cc1ccccc1,,Train
OC1CCCCC12CCCC2,,Train
O=C(O)Cc1ccccc1,,Train
CCCCCCCc1ccccc1-c1ccccc1,,Train
CCCCCCCc1cccc(-c2ccccc2)c1,,Train
CCCCCCCCCCCCCCCC(O)CCC,,Train
CC(C=O)Cc1ccc(C(C)C)cc1,,Train
CCC(C)(C)CC(C)=C(C)C,,Train
CC(C)=CC(C)(C)CC(C)C,,Test
C=CCC(C)(CC)C(C)(C)C,,Train
CCCCC(C)(C)C=C(C)C,,Train
CCC(=CC(C)(C)C)CC,,Train
CCC(C)=CC(C)(CC)CC,,Train
C=C(C)CC(C)(CC)C(C)C,,Train
CCC(C)CCC(C)=C(C)C,,Train
C=C(C)C(C)C(CC)CC,,Train
C=C(C)C1C=C(C)C(C)=CC1,,Train
COc1ccc(CC(=O)O)cc1,,Train
CCCC(C)CCCC(C)=O,,Train
CC(C)=C(C(C)C)C(C)C,,Train
C=CC(C)C(C)C=CC,,Train
C#CC=CC=C,,Train
C#CCC#CC,,Train
CCCC=CCCC(C)C,,Valid
CCCCC=C(C)CCCCC,,Test
C=CCCC1C=CCCC1,,Train
CCCCCCCCCCOCC(O)CO,,Train
CCCCCCCCCCCOCC(O)CO,,Train
CCCCCCCCCCCCCOCC(O)CO,,Train
CCCCCC#CCC#CCC#CCC#CCCCCCC(=O)O,,Train
C#CCCCCC(C(=O)O)C(=O)O,,Train
Cc1oc2cc3ccccc3c-2c(C)c1C,,Train
CCCCCCCCOCC(O)CO,,Train
CCCCCCCCCc1ccc(O)cc1,,Train
CCCCCCCCCCCCc1ccc(C)cc1,,Valid
CC=Cc1ccc(OC)cc1,,Train
CCCCCCCCCC(=O)OCCCCCC,,Train
CCCCc1ccccc1,,Train
O=CCCc1ccccc1,,Train
CC(C)=CC1C(C(=O)OCc2coc(Cc3ccccc3)c2)C1(C)C,,Test
CC(C)=CC1C(C(=O)O)C1(C)C,,Train
C=CC(O)C1CC=CCC1,,Train
O=CC=Cc1ccccc1,,Train
O=COCc1ccccc1,,Train
CC1CCC(C(C)C)C(=O)C1,,Train
Cc1ccc(-c2ccc3cccc(C)c3c2)cc1,,Train
CCCCCC1CCC(=O)O1,,Train
OCCOCCOc1ccccc1,,Valid
CCCCCc1ccc(-c2ccccc2)cc1-c1ccccc1,,Train
CCCCCCCCCCc1ccccc1,,Train
CCCCC(CC)CO,,Train
CCCCC(Cc1ccccc1)c1ccccc1,,Train
CCCCCCCCCCC(=O)OCCCCC,,Train
CCCCCCCCCCCCCC(=O)OCCCCC,,Train
CCC(=C(C)C)c1ccccc1,,Valid
CCCCCCCCCCCCC=O,,Train
Cc1ccc(C=O)cc1,,Train
OC1(c2ccccc2)CCCC1,,Train
CCCCC(CC)(CC)CC(O)C(C)(C)C,,Train
CCCCC(C=CC(C)(C)C)(CC)CC,,Train
COc1ccc(C)cc1,,Train
Cc1cc(C)c(C)o1,,Train
CCc1ccc(CC)cc1,,Train
C=Cc1ccc(C=C)cc1,,Train
CC#CC(C)(C)C#Cc1ccccc1,,Train
CCCC(C)(C)CCc1ccccc1,,Train
COc1ccc(CO)cc1,,Train
CCCCCC#CC(=O)OCC,,Test
CCC(C)C(=O)OC(CC)(CC)CC,,Train
CCCC1CCC(=O)O1,,Train
CCCCCCCCCC(C)CO,,Train
CCCC(C)(C)CCO,,Train
CCOC(=O)CC,,Train
C=Cc1ccc(C(C)=O)cc1,,Train
C=COC(=O)CC,,Test
CCCCCCCCc1ccc(CCCCCCCC)cc1,,Train
CCC(C)CC(C)=O,,Train
CC=CC(=O)OCC,,Train
CCCCCCCCCCCCCCC(C)CCC,,Train
CCCCCCCCCCCCC(C)CCCCC,,Train
C=CC(CC)C(O)CCCCC,,Valid
C=CC(CC)C(O)C(C=C)CC,,Train
CCC(C)OC(C)=O,,Train
CCOC(=O)CC(=O)OCC,,Test
CCCC(=O)OCC,,Train
CCOC(C)OCC,,Train
CCOC(=O)OCC,,Train
C=C=CC=C,,Train
CCCOC(=O)CCC,,Train
Cc1ccc(O)c(C)c1,,Test
CCC(=O)OCCC(C)C,,Train
CC(=O)OCC(O)COC(C)=O,,Train
CCc1cc(C)c(O)c(C)c1,,Valid
CCCC(=O)OCCOC(=O)CCC,,Train
C=COCCCCCC(C)C,,Test
CCC(C)Oc1ccccc1,,Valid
CCC(C)=C(C)C,,Train
CC(O)C(C)C(C)(C)C,,Train
CC(C)COC(=O)CCCCCCCC(=O)OCC(C)C,,Train
CCCOC(C)OCCC,,Train
CCCCC(=O)OCC(C)C,,Train
CCCCCC(C)(O)CC(C)CC,,Train
CC(C)=CC(C)(C)CCC(C)C,,Valid
CCCCCCCC(C)(C)CCO,,Train
CCCCC(CO)CC(C)CCC,,Train
CC(CC(C)(C)C)C(O)C(C)(C)C,,Train
CCCCC(CC)CC(O)C(C)C,,Train
CC(=CCO)CCC=C(C)C(C)C,,Train
CCCC1CCCCC1CCC,,Train
CCCCCCC(C)=CC(C)C,,Train
CC(C)C=C(C(C)C)C(C)(C)C,,Test
CCCCCCCCCC(CCCCCCCC)c1ccccc1,,Train
CCC1=C(C)CCCC1(C)C,,Train
CCCCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCCCC,,Train
CC=Cc1ccco1,,Train
Cc1coc(C)c1C,,Train
CCCCOC(=O)CCCCC(=O)OCCCC,,Train
O=C1CCCCCCCCCCCCCCO1,,Valid
CC(C)(O)C#CCO,,Valid
CCCC(C)(O)C#CCO,,Train
C=CC(OC(C)=O)C1CC=CCC1C,,Train
CCCCCCCCCCCC(=O)OCCCC,,Valid
CCCOC(=O)CCCCC(=O)OCCC,,Valid
CC(C)=CCCC(C)CCO,,Train
CC(C)=CCCC(C)CC=O,,Train
CCCC(=O)OCCC(C)C,,Train
CCCCCCC(=O)OCC,,Test
CCCC(=O)OC(=O)CCC,,Train
CCCCCCCC(=O)OCC,,Train
CCCCCCCCCCCC(=O)OCC,,Train
CCCCC(=O)CC,,Train
CCCOC(=O)CC,,Train
CCOC(=O)CCC(C)CCCC(C)C,,Train
Cc1ccc(C)cc1,,Test
Cc1ccc(O)cc1,,Train
Cc1cc(C(C)C)cc(C(C)C)c1O,,Train
CC(C)CCC(C)(O)C(C)(C)C,,Train
CC(C)CC(C)(O)CC(C)(C)C,,Train
CCCCC(C)(O)CC(C)CC,,Train
CC(=O)CCC(C)CC(C)(C)C,,Train
CC(C)(C)CCC(C)(C)CCO,,Train
CCCCCCC(C)(C)CCO,,Train
CC(O)COC(C)CO,,Train
C=CC(=O)OCC(C)C,,Train
COC(=O)CCC(=O)OC,,Train
CCCCCCC(C)(O)CC(C)C,,Train
CCC(CO)CC(C)C,,Test
CCCCCC(=O)CC,,Train
OCCCCC(O)CO,,Train
CCCCCC(=O)OC,,Train
CCC(C)(CC)CC,,Train
CCC(CC)(CC)CC,,Train
CCCCCCC(=O)OC,,Valid
C=CC(=O)OCCOCC,,Train
COC(=O)CCCCCCCCC(=O)OC,,Train
CCCC(C)(C)CCC,,Train
CCCCC(O)C(C)(C)O,,Train
CCC1CO1,,Train
CCC(C(C)C)C(C)C,,Train
C=C(C)C(=O)OCC1CO1,,Test
CC(C)CC(C)C(C)C,,Train
C=CC=C,,Train
C#CCC,,Train
CC=CC,,Train
C=CC=O,,Test
CCCCC(C)CCO,,Train
C=C(C=O)CCCC,,Train
CCC(C)CCCC(=O)O,,Train
CC(C)(C)CC(C)(C)C,,Valid
CCCCCC(C)(C)C,,Train
CC(C)(C)CCCCC(C)(C)C,,Valid
C=C(C)CC(C)(CC)C(C)(C)C,,Valid
CC(C)(C)CCC(C)(C)C,,Valid
C=CCO,,Train
C#CCO,,Train
CC(C)CCCC(C)C,,Train
OCCO,,Train
CC(C)CCCCC(C)C,,Valid
CCCCCCCCCCCCCOC(C)=O,,Train
CCCCCCCCC=CCCCCCCCCCCCC(=O)O,,Test
CC1COCO1,,Train
C=COC,,Train
COC1=CCCC1,,Train
C=CC1CCOCO1,,Train
COC=O,,Train
O=COO,,Train
C=C(C)CC(C)(C)C,,Train
CC1(C)OOC(C)(C)OO1,,Train
CC(C)=CC(C)(C)C,,Train
CC(O)CC(C)(C)O,,Train
CCCc1ccccc1C,,Train
CCCc1cccc(C)c1,,Train
CCCc1ccc(C)cc1,,Train
Cc1ccccc1C(C)(C)C,,Train
c1ccc2c(c1)CCCCC2,,Train
CCC=CC(=Cc1ccccc1)CC,,Valid
Cc1cc2c(cc1C)CCC2,,Train
Cc1cccc(C(C)(C)C)c1,,Train
C#CC(C)(O)CC(C)C,,Train
C=CCCCc1ccccc1,,Train
CCCCCCC(C)(O)CC(C)CC,,Train
CCCC(C)(C)CC(C)(C)C(C)C,,Train
Cc1ccc(C(=O)O)c(C)c1C,,Train
Cc1cc2c(cc1C)CCCC2,,Test
Cc1cc(C(=O)O)cc(C)c1C,,Train
CCCCCCc1ccccc1,,Train
CC(CCO)CCCC(C)(C)O,,Train
CC(C)(C)c1ccccc1C(=O)O,,Train
CCCCCCCC(C)CC(C)CC,,Train
CCCCCC(C)CC(C)CC(C)C,,Train
CCCCC(C)C(C(=O)O)c1ccccc1,,Train
Cc1ccc(C)c2c1CCC2(C)C,,Train
COc1ccc2c(c1)CCCC2=O,,Train
O=C(O)CCc1ccc(O)c(O)c1,,Test
CCCCCCCc1ccccc1,,Train
CCCC(C)=O,,Train
CC(O)CCO,,Train
CC(O)CC=O,,Train
CCCCC1CCCCC1CCCC,,Test
CC(C)(C)C1CCCC(C(C)(C)C)C1,,Train
c1c2c(cc3c1CCCC3)CCCC2,,Train
COCC(C)O,,Train
C=COC(C)=O,,Train
CC(C)CC(C)C,,Valid
CC(=O)CC(C)C,,Test
CC(C)CC(C)O,,Train
c1ccc(CCCc2ccccc2)cc1,,Test
CCCCCCCCCc1ccccc1,,Valid
CC(C)OC(C)C,,Train
CC(=O)OC(C)C,,Train
CC(C)(C)C(=O)C(C(=O)C(C)(C)C)C12CC3CC(CC(C3)C1)C2,,Train
C=C(C)OC(C)=O,,Train
CC(=O)OC(C)=O,,Train
CCCCCC(C)(O)C(C)(C)C(C)(C)C,,Train
CC1CCC(=O)O1,,Train
O=C1C=CC(=O)O1,,Train
CC1COC(=O)O1,,Valid
c1ccc(CCCCc2ccccc2)cc1,,Train
Cc1cccc(C)c1,,Train
Cc1cccc(O)c1,,Train
Oc1cccc(O)c1,,Train
O=C1CCCC(=O)O1,,Test
C=Cc1cccc(C=C)c1,,Train
COC(=O)CC(=O)OC,,Train
CCCC(CCC)Cc1ccccc1,,Train
CCOC(=O)CC(C)C,,Train
COCC(C)OC(C)=O,,Train
Cc1cc(C)cc(C)c1,,Train
Cc1cc(C)cc(O)c1,,Train
c1cc(C2CCCCC2)ccc1C1CCCCC1,,Test
c1ccc(CCCCCCc2ccccc2)cc1,,Train
CC(c1ccccc1)C(CO)c1ccccc1,,Train
CC(C)CC(O)CC(C)C,,Train
CCCCCCCCCC(C)(O)CCCCC,,Valid
CC(=O)OC(C)CC(C)C,,Test
OC1CCCCC1,,Test
O=C1CCCCC1,,Train
Oc1ccccc1,,Train
O=c1ccocc1,,Train
O=C1c2ccccc2C(=O)c2cc3ccccc3cc21,,Train
CCCC(C)CCCC(C)CCCC(C)=O,,Train
Cc1cccc2c(C3=CCCCC3)cccc12,,Test
CCCCCCCCOC(=O)C(C)C,,Valid
CCCCOC(=O)CC(C)C,,Train
CCCCCCCCCCCC(O)CCC,,Train
CCCCOC(=O)CCC,,Train
O=C1CCCCCCCCCCCCCCCO1,,Train
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,,Valid
CCCCCCCCCCCC(CCC)CC(=O)O,,Train
C=CCCC(C)=O,,Train
CC(C)(C)CCC(CO)CC(C)(C)C,,Train
CCCCC(=O)O,,Train
C=COCC(C)C,,Train
CCCCCCCCCCCCC(CCC)CC(=O)O,,Train
CC(C)OCCO,,Train
CCCOC(C)=O,,Valid
C=CCCC,,Train
CC=CCC,,Train
CC(C)Cc1ccc(CC(C)C)c2ccccc12,,Train
C=CC(CCCCC)CCCCCC,,Train
CCCCOC(C)C(=O)OCC,,Valid
COCCO,,Train
COCOC,,Train
C=COCC,,Train
C=COC=C,,Train
CCCCCCCCCCCCCC(CCC)CC(=O)O,,Valid
CCCCCCCCCCCCC(CCC)CCC(=O)O,,Train
CCOC=O,,Train
C1CCOC1,,Train
c1ccoc1,,Train
CC(C)(O)CCC(C)(C)O,,Train
CC(=O)CCC(C)C,,Train
CC(=O)CCC(C)=O,,Train
CC(=O)OCC(C)C,,Train
C=CC(OC(C=C)C1CC=CCC1C)C1CC=CCC1C,,Train
CCCCCCCCCCCCCC(=O)OC(C)C,,Train
C=CC1(C)CCC(C(=C)C)CC1C(=C)C,,Train
CC(C)CC(C)(CC1CCCCC1)CC1CCCCC1,,Train
CCCCCCOC(=O)CCCCC(=O)OCCCCCC,,Train
CCCCCCCCCCCCCCCC(=O)OCC(C)C,,Test
CCCCCCCCCCCCCC(=O)OCCCC,,Valid
CCCCCCCCCC(=O)OCC,,Train
CCCCCCCCOC(=O)CCC,,Valid
CCOC(=O)CCCCCCCCC(=O)OCC,,Train
CCCCCCCCCC(=O)OC,,Valid
CCCCCC(C)=O,,Train
CC(C)CCOC=O,,Train
CCCCCCC(C)OCCCC,,Train
COCCOC(C)=O,,Train
CCCCC=O,,Train
OCC=CCO,,Test
OCC#CCO,,Train
COCCOC,,Train
CCCCCCCCCCCCCCCCC=C(C)C,,Train
CCCOC=O,,Train
CCOCCO,,Train
CCCC(Cc1ccccc1)c1ccccc1,,Train
C1=CCCCC1,,Train
C1=COCCC1,,Train
C1OCOCO1,,Train
CC(=O)CCC=C(C)C,,Train
O=C(O)CCCC(=O)O,,Train
CC(O)COCC(C)O,,Train
O=C(O)COCC(=O)O,,Valid
CCCC(OC(=O)c1ccccc1)C(CC)COC(=O)c1ccccc1,,Train
CCCCCCCCCCCCCCCC(=O)OCCCC,,Train
CCCCCCCCCCOCCCC,,Train
CCCCCCCC(=O)OC,,Train
CCCCCCC(C)=O,,Train
CCOCCOC(C)=O,,Train
O=C(O)CCCCCC(=O)O,,Train
O=C(O)CCCCCCCCC(=O)O,,Valid
CC(=O)OCCOCCOCCOC(C)=O,,Train
C=CC=CC(CC)(CC)CC,,Train
CCCCCCO,,Train
CC=CC=CCO,,Train
OCCCCCO,,Train
CCC(O)(CC)CCCO,,Train
O=CCCCC=O,,Test
COCCCCO,,Train
C=COCCCC,,Train
CCOCCCO,,Test
C=C(C)C=C(C)C(C)(C)C,,Train
CCCOC(=O)C(CC)C(=O)OCCC,,Train
CCCCOC(=O)C(CC)C(=O)OCCCC,,Valid
CCCOCCC,,Train
CC=C(CC)C(C)=O,,Train
OCCOCCO,,Train
C=CC(C)C=C,,Test
CC(=O)OCCOC(C)=O,,Valid
CCCCCCCCCCCCCCCCCC(=O)OCC,,Train
C=CCCCCCC,,Train
Cc1cccc2cccc(C3=CCCC3)c12,,Test
CC=CCCCCC,,Train
CC(=C=C(C)C(C)(C)C)c1ccccc1,,Train
C=CCC(C)=CC,,Train
CCCCCCCO,,Train
CCCCCCC=O,,Train
CCCOC(=O)CC(=O)OCCC,,Valid
CC(=O)OCCC(C)OC(C)=O,,Train
CCCCCCCC(=O)OCCCCCC,,Train
CCCCCCOC(=O)CCCC,,Train
CCCCOCCO,,Train
COCCOCCO,,Test
C1=CCCC=CCC1,,Train
