smiles,temperature,source,total_atoms,predicted,predicted_stddev
C=CC(=O)OC,,DIPPR,6,36.203346,2.8952103
C=CC(=O)OCC,,DIPPR,7,39.783573,2.8469625
C=CC(=O)OCC(C)C,,DIPPR,9,44.624935,3.3751001
C=CC(=O)OCC(C)O,,DIPPR,9,51.97817,3.8686056
C=CC(=O)OCC(CC)CCCC,,DIPPR,13,57.583443,4.492328
C=CC(=O)OCCCC,,DIPPR,9,46.870316,3.0289607
C=CC(=O)OCCO,,DIPPR,8,53.598503,4.4419456
C=CC(=O)OCCOC(=O)C=C,,DIPPR,12,61.15752,4.976329
C=CC(C)(C)C,,DIPPR,6,28.2906,1.5304257
C=CC(C)C,,DIPPR,5,27.391993,0.845963
C=CC(C)CC,,DIPPR,6,31.58276,1.3993062
C=CC(C)CCC,,DIPPR,7,35.490692,2.2734728
C=CC(OC(C)=O)OC(C)=O,,DIPPR,11,50.53736,3.5093055
C=CC1CC2C=CC1C2,,DIPPR,9,39.561024,3.4322023
C=CC1CC=CCC1,,DIPPR,8,43.09177,4.4634333
C=CC1CCCCC1,,DIPPR,8,40.42969,2.8025365
C=CC1COC(=O)O1,,DIPPR,8,64.90436,6.1795893
C=CC=C,,DIPPR,4,25.585403,0.7561803
C=CC=O,,DIPPR,4,30.73691,3.2605362
C=CCC=CC,,DIPPR,6,33.73949,3.0193357
C=CCCC,,DIPPR,5,29.301466,0.5816821
C=CCCC(C)=O,,DIPPR,7,41.754353,4.4677167
C=CCCC=C,,DIPPR,6,31.960754,1.6364223
C=CCCCC,,DIPPR,6,33.435665,0.8574405
C=CCCCCC,,DIPPR,7,37.723755,1.2597755
C=CCCCCC(C)C,,DIPPR,9,44.776398,3.0359807
C=CCCCCCC,,DIPPR,8,41.755123,1.6426407
C=CCCCCCCC,,DIPPR,9,45.542873,2.0616398
C=CCCCCCCC=C,,DIPPR,10,48.943146,3.0161166
C=CCCCCCCCC,,DIPPR,10,48.598698,2.226338
C=CCCCCCCCCC,,DIPPR,11,51.90093,2.6760926
C=CCCCCCCCCCC,,DIPPR,12,55.438683,3.1995277
C=CCCCCCCCCCCC,,DIPPR,13,58.615696,3.686698
C=CCCCCCCCCCCCCCC,,DIPPR,16,68.475136,4.5940804
C=CCCCCCCCCCCCCCCCC,,DIPPR,18,74.787766,5.2145424
C=CCO,,DIPPR,4,47.874386,3.9677448
C=CCOC(=O)C(=C)C,,DIPPR,9,46.43119,3.6925955
C=CCOC(=O)c1ccccc1C(=O)OCC=C,,DIPPR,18,72.38091,5.8169885
C=CCOC(C)=O,,DIPPR,7,40.314632,2.7317371
C=CCOCC(C)O,,DIPPR,8,49.587948,4.1438613
C=CCOCC1CO1,,DIPPR,8,48.147213,3.954011
C=CCOCC=C,,DIPPR,7,37.5626,3.5685916
C=COC,,DIPPR,4,27.233988,2.290617
C=COC(=O)C(C)(C)C,,DIPPR,9,41.849903,3.9988866
C=COC(=O)CC,,DIPPR,7,39.745804,2.699411
C=COC(C)=O,,DIPPR,6,36.252354,2.3407927
C=COC=C,,DIPPR,5,29.569887,3.0134773
C=COCCCC,,DIPPR,7,38.5493,2.7197065
C=Cc1ccc(C)cc1,,DIPPR,9,48.262115,3.4428291
C=Cc1ccc(CC)cc1,,DIPPR,10,50.556034,3.2333655
C=Cc1cccc(C)c1,,DIPPR,9,47.38515,3.2068152
C=Cc1cccc(C=C)c1,,DIPPR,10,51.610214,4.394601
C=Cc1cccc(CC)c1,,DIPPR,10,50.654366,3.585363
C=Cc1ccccc1,,DIPPR,8,42.9579,2.4564977
C=Cc1ccccc1C,,DIPPR,9,46.060055,2.844026
C=Cc1ccccc1CC,,DIPPR,10,48.20869,3.3576546
CC#CCC,,DIPPR,5,30.095928,3.4256086
CC#CCCC,,DIPPR,6,32.896343,3.638743
CC(=O)C(=O)O,,DIPPR,6,45.252308,3.8520198
CC(=O)C(C)(C)C,,DIPPR,7,39.31501,2.7113123
CC(=O)C(C)C,,DIPPR,6,38.361496,3.2028832
CC(=O)C=C(C)C,,DIPPR,7,42.212505,3.7447062
CC(=O)CC(=O)OC(C)(C)C,,DIPPR,11,56.49048,4.6034226
CC(=O)CC(C)(C)O,,DIPPR,8,51.42778,4.7182016
CC(=O)CC(C)=O,,DIPPR,7,45.174633,5.1847873
CC(=O)CC(C)C,,DIPPR,7,39.69405,3.5492282
CC(=O)CCC(=O)O,,DIPPR,8,58.084095,5.7331996
CC(=O)CCC(C)C,,DIPPR,8,42.415535,3.8858209
CC(=O)CO,,DIPPR,5,52.333023,5.723174
CC(=O)O,,DIPPR,4,52.513138,7.4338427
CC(=O)OC(C)(C)C,,DIPPR,8,38.960796,1.9554025
CC(=O)OC(C)=O,,DIPPR,7,46.094566,2.3496509
CC(=O)OC(C)C,,DIPPR,7,38.012367,1.8375651
