DIPPR ID,Cp_liq_298K,smiles,temperature,total_atoms,predicted,predicted_stddev
1169,2187.553113536878,CCCCCCC(CO)CCCC,298.15,13,76.87489,8.99202
1008,2177.917926804193,CCCCCCC=O,298.15,8,49.02976,5.117943
27,2228.55622992427,CCCCCCCC,298.15,8,40.653477,1.1135492
1265,2067.9430793085903,CCCCCCCC(=O)O,298.15,10,77.52577,10.707329
3325,1992.949428704808,CCCCCCCC(=O)OC,298.15,11,58.600307,5.036727
1339,2002.8129478005,CCCCCCCC(=O)OCC,298.15,12,60.948406,5.2365675
3334,1893.232588432866,CCCCCCCC(=O)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC,298.15,33,122.21361,18.711184
1074,2140.872099153856,CCCCCCCC(C)=O,298.15,10,59.880917,6.580943
86,2194.313294517973,CCCCCCCC(C)C,298.15,10,49.576424,3.0850034
164,2175.1778908726706,CCCCCCCC(C)C(C)C,298.15,12,59.042503,5.4440527
97,2190.7569907348634,CCCCCCCC(C)CC,298.15,11,55.024956,4.6162667
1135,2414.323495695662,CCCCCCCC(C)O,298.15,10,66.45201,6.6754055
1164,2201.835762915262,CCCCCCCC(CO)CCCC,298.15,14,80.94118,9.785539
1279,1888.5663582298096,CCCCCCCC/C=C\CCCCCCCC(=O)O,298.15,20,106.731445,18.609262
1362,2027.005427100653,CCCCCCCC/C=C\CCCCCCCC(=O)OC,298.15,21,100.75957,14.66011
3878,2047.477918626428,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC,298.15,63,126.35726,22.345232
3326,2046.9128229887936,CCCCCCCC/C=C\CCCCCCCCCCCC(=O)OC,298.15,25,110.72774,17.468832
3333,2046.179326607267,CCCCCCCC/C=C\CCCCCCCCCCCC(=O)OCC,298.15,26,111.18456,17.355398
1010,2192.719169933317,CCCCCCCC=O,298.15,9,53.886444,5.826569
46,2216.721890667256,CCCCCCCCC,298.15,9,45.419003,1.5091344
