,Predicted,NIST,Temperature,Train/Valid/Test,smiles,DB_unc,sample_weight
0,23.707214,24.52,281.22,Train,C#CCC,0.01,1.0
1,34.553665,35.83,399.35,Train,C#CCCCCCC,0.01,1.0
2,30.475174,30.46,356.12,Train,C1=CCCCC1,0.01,1.0
3,20.018677,20.05,240.37,Train,C1CC1,0.01,1.0
4,26.763294,26.76,312.19,Train,C1CC12CC2,0.01,1.0
5,24.003222,24.19,285.66,Train,C1CCC1,0.01,1.0
6,40.14788,41.0,460.46,Train,C1CCC2CCCCC2C1,0.01,1.0
7,40.147873,40.2,460.46,Train,C1CCC2CCCCC2C1,0.01,1.0
8,30.000874,29.97,353.87,Train,C1CCCCC1,0.01,1.0
9,29.761457,29.81,339.12,Train,C1CCOC1,0.01,1.0
10,31.563766,31.17,361.15,Train,C1CCOCC1,0.01,1.0
11,25.389336,25.54,283.6,Train,C1CO1,0.01,1.0
12,28.382538,28.67,321.0,Train,C1COC1,0.01,1.0
13,34.03699,34.16,374.47,Train,C1COCCO1,0.01,1.0
14,13.4328,13.53,169.41,Train,C=C,0.01,1.0
15,25.56609,25.5,304.305,Train,C=C(C)CC,0.01,1.0
16,36.58317,36.8,399.2,Train,C=C1CC(=O)O1,0.01,1.0
17,18.330757,18.42,225.45,Train,C=CC,0.01,1.0
18,32.430473,33.1,353.35,Train,C=CC(=O)OC,0.01,1.0
19,34.00796,34.7,372.65,Train,C=CC(=O)OCC,0.01,1.0
20,29.032665,28.3,325.84,Train,C=CC=O,0.01,1.0
21,22.133842,22.07,266.91,Train,C=CCC,0.01,1.0
22,25.462904,25.2,303.22,Train,C=CCCC,0.01,1.0
23,33.844128,34.07,394.41,Train,C=CCCCCCC,0.01,1.0
24,41.52668,40.0,370.23,Train,C=CCO,0.01,1.0
25,31.614594,34.6,345.65,Train,C=COC(C)=O,0.01,1.0
26,26.490463,26.2,308.7,Train,C=COCC,0.01,1.0
27,31.873377,31.58,366.97,Train,C=COCCCC,0.01,1.0
28,14.729819,14.69,184.55,Train,CC,0.01,1.0
29,35.63557,37.26,410.88,Train,CC#CCCCCC,0.01,1.0
30,32.989853,33.39,379.45,Train,CC(=O)C(C)(C)C,0.01,1.0
31,34.198822,34.07,387.2,Train,CC(=O)C1CC1,0.01,1.0
32,34.23593,34.49,389.15,Train,CC(=O)CC(C)C,0.01,1.0
33,32.772526,33.07,369.15,Train,CC(=O)OC(C)(C)C,0.01,1.0
34,39.52429,38.2,412.7,Train,CC(=O)OC(C)=O,0.01,1.0
35,32.599266,32.93,361.65,Train,CC(=O)OC(C)C,0.01,1.0
36,35.222965,35.9,389.8,Train,CC(=O)OCC(C)C,0.01,1.0
37,37.463604,37.5,415.15,Train,CC(=O)OCCC(C)C,0.01,1.0
38,45.36907,49.4,487.15,Train,CC(=O)OCc1ccccc1,0.01,1.0
39,22.73162,22.74,282.65,Train,CC(C)(C)C,0.01,1.0
40,32.688393,32.51,395.44,Train,CC(C)(C)CC(C)(C)C,0.01,1.0
41,39.40707,39.07,355.57,Train,CC(C)(C)O,0.01,1.0
42,31.858646,32.15,379.9,Train,CC(C)(C)OC(C)(C)C,0.01,1.0
43,29.469452,29.64,346.35,Train,CC(C)=C(C)C,0.01,1.0
44,29.04385,29.1,329.44,Train,CC(C)=O,0.01,1.0
45,21.165483,21.3,261.43,Train,CC(C)C,0.01,1.0
46,35.216503,35.64,407.0,Train,CC(C)C(=O)C(C)(C)C,0.01,1.0
47,34.58531,34.64,397.55,Train,CC(C)C(=O)C(C)C,0.01,1.0
48,29.107317,28.9,354.03,Train,CC(C)C(C)(C)C,0.01,1.0
49,27.328922,27.38,331.13,Train,CC(C)C(C)C,0.01,1.0
50,32.29737,32.36,386.62,Train,CC(C)C(C)C(C)C,0.01,1.0
51,33.53138,33.56,399.58,Train,CC(C)C1CCCC1,0.01,1.0
52,30.860188,30.79,372.388,Train,CC(C)CC(C)(C)C,0.01,1.0
53,29.500114,29.55,353.644,Train,CC(C)CC(C)C,0.01,1.0
54,32.121025,32.54,382.26,Train,CC(C)CCC(C)C,0.01,1.0
55,37.970856,38.22,444.15,Train,CC(C)CCC(C)CC(C)C,0.01,1.0
56,43.065727,44.07,404.15,Train,CC(C)CCO,0.01,1.0
57,38.84791,35.1,445.7,Train,CC(C)CCOCCC(C)C,0.01,1.0
58,41.840942,41.82,380.81,Train,CC(C)CO,0.01,1.0
59,37.86447,38.2,420.45,Train,CC(C)COC(=O)C(C)C,0.01,1.0
60,32.806103,33.11,386.4,Train,CC(C)COC(C)(C)C,0.01,1.0
61,39.629227,39.85,355.3,Train,CC(C)O,0.01,1.0
62,29.146997,29.1,341.45,Train,CC(C)OC(C)C,0.01,1.0
63,52.525467,57.3,470.65,Train,CC(O)CC(C)(C)O,0.01,1.0
64,54.686325,54.31,481.38,Train,CC(O)CCO,0.01,1.0
65,51.719727,52.4,460.75,Train,CC(O)CO,0.01,1.0
66,30.685059,30.85,353.7,Train,CC1(C)COC1,0.01,1.0
67,30.85368,31.07,364.95,Train,CC12CCCC1C2,0.01,1.0
68,30.409472,30.4,364.88,Train,CC1CCC(C)C1,0.01,1.0
69,32.808064,33.28,392.51,Train,CC1CCC(C)CC1,0.01,1.0
70,32.94424,32.91,393.24,Train,CC1CCCC(C)C1,0.01,1.0
71,28.788193,29.08,344.96,Train,CC1CCCC1,0.01,1.0
72,31.406393,31.27,374.084,Train,CC1CCCCC1,0.01,1.0
73,33.227203,32.96,396.58,Train,CC1CCCCC1C,0.01,1.0
74,33.227203,33.47,396.58,Train,CC1CCCCC1C,0.01,1.0
75,52.43303,48.5,438.15,Train,CC1CCCCC1O,0.01,1.0
76,52.433037,53.0,438.15,Train,CC1CCCCC1O,0.01,1.0
77,52.433037,53.0,438.15,Train,CC1CCCCC1O,0.01,1.0
78,27.330437,27.35,307.65,Train,CC1CO1,0.01,1.0
79,26.050627,26.31,311.705,Train,CC=C(C)C,0.01,1.0
80,22.782043,23.34,276.87,Train,CC=CC,0.01,1.0
81,22.782043,22.72,276.87,Train,CC=CC,0.01,1.0
82,25.920143,25.76,294.15,Train,CC=O,0.01,1.0
83,18.629713,19.04,231.11,Train,CCC,0.01,1.0
84,33.254135,33.45,375.14,Train,CCC(=O)CC,0.01,1.0
85,31.896431,32.24,352.6,Train,CCC(=O)OC,0.01,1.0
86,41.3496,41.7,440.15,Train,CCC(=O)OC(=O)CC,0.01,1.0
87,26.393093,26.31,322.88,Train,CCC(C)(C)C,0.01,1.0
88,32.205788,32.12,387.92,Train,CCC(C)(C)C(C)C,0.01,1.0
89,29.712833,29.62,359.21,Train,CCC(C)(C)CC,0.01,1.0
90,32.663494,32.78,391.42,Train,CCC(C)(CC)CC,0.01,1.0
91,31.207954,31.3,352.79,Train,CCC(C)=O,0.01,1.0
92,24.802568,24.69,300.994,Train,CCC(C)C,0.01,1.0
93,31.800766,31.94,382.995,Train,CCC(C)C(C)(C)C,0.01,1.0
94,34.22683,34.16,390.55,Train,CCC(C)C(C)=O,0.01,1.0
95,30.263464,30.46,362.931,Train,CCC(C)C(C)C,0.01,1.0
96,32.816513,33.24,390.88,Train,CCC(C)C(C)CC,0.01,1.0
97,32.133263,32.51,382.58,Train,CCC(C)CC(C)C,0.01,1.0
98,40.002308,40.75,372.9,Train,CCC(C)O,0.01,1.0
99,28.385136,28.09,332.15,Train,CCC(C)OC,0.01,1.0
100,34.01184,34.06,394.2,Train,CCC(C)OC(C)CC,0.01,1.0
101,35.46751,34.61,419.34,Train,CCC(CC)(CC)CC,0.01,1.0
102,32.672504,32.93,388.8,Train,CCC(CC)C(C)C,0.01,1.0
103,43.781105,43.2,420.15,Train,CCC(CC)CO,0.01,1.0
104,31.603664,31.96,376.62,Train,CCC1CCCC1,0.01,1.0
105,34.14335,34.04,404.945,Train,CCC1CCCCC1,0.01,1.0
106,28.663027,28.31,322.15,Train,CCC=O,0.01,1.0
107,22.490513,22.44,272.65,Train,CCCC,0.01,1.0
108,34.777527,36.0,405.0,Train,CCCC#CCCC,0.01,1.0
109,35.294865,35.36,396.65,Train,CCCC(=O)CC,0.01,1.0
110,33.98678,33.79,375.9,Train,CCCC(=O)OC,0.01,1.0
111,44.137375,50.0,470.93,Train,CCCC(=O)OC(=O)CCC,0.01,1.0
112,35.60697,35.47,394.65,Train,CCCC(=O)OCC,0.01,1.0
113,29.169163,29.23,352.34,Train,CCCC(C)(C)C,0.01,1.0
114,32.144047,32.31,385.12,Train,CCCC(C)(C)CC,0.01,1.0
115,33.288506,33.44,375.46,Train,CCCC(C)=O,0.01,1.0
116,27.83001,27.79,333.41,Train,CCCC(C)C,0.01,1.0
117,32.657402,33.17,388.76,Train,CCCC(C)C(C)C,0.01,1.0
118,43.599976,50.2,421.15,Train,CCCC(C)CO,0.01,1.0
119,40.5994,41.4,392.2,Train,CCCC(C)O,0.01,1.0
120,33.13125,33.59,391.69,Train,CCCC(CC)CC,0.01,1.0
121,31.029957,31.5,347.94,Train,CCCC=O,0.01,1.0
122,25.910925,25.79,309.22,Train,CCCCC,0.01,1.0
123,46.719036,44.1,458.95,Train,CCCCC(=O)O,0.01,1.0
124,37.37954,35.36,410.0,Train,CCCCC(=O)OC,0.01,1.0
