,Predicted,NIST,Temperature,Train/Valid/Test,smiles,DB_unc,sample_weight
125,37.610302,36.96,415.0,Train,CCCCC(=O)OCC,0.01,1.0
126,31.765688,32.07,379.99,Train,CCCCC(C)(C)C,0.01,1.0
127,30.569767,30.62,363.199,Train,CCCCC(C)C,0.01,1.0
128,33.16452,33.66,392.08,Train,CCCCC(C)CC,0.01,1.0
129,38.05169,38.14,438.3,Train,CCCCC(C)CCCC,0.01,1.0
130,41.765972,41.01,412.4,Train,CCCCC(C)O,0.01,1.0
131,46.208744,54.2,457.6,Train,CCCCC(CC)CO,0.01,1.0
132,43.283913,42.5,429.15,Train,CCCCC(O)CC,0.01,1.0
133,36.921543,36.16,429.75,Train,CCCCC1CCCC1,0.01,1.0
134,28.906063,28.85,341.88,Train,CCCCCC,0.01,1.0
135,38.61776,38.55,423.0,Train,CCCCCC(=O)OC,0.01,1.0
136,33.0942,33.26,390.8,Train,CCCCCC(C)C,0.01,1.0
137,31.597637,31.77,371.58,Train,CCCCCCC,0.01,1.0
138,38.348732,38.26,440.95,Train,CCCCCCC(C)CC,0.01,1.0
139,44.884094,44.4,452.9,Train,CCCCCCC(C)O,0.01,1.0
140,34.23723,34.41,398.83,Train,CCCCCCCC,0.01,1.0
141,50.86946,58.5,512.85,Train,CCCCCCCC(=O)O,0.01,1.0
142,38.2732,38.23,440.15,Train,CCCCCCCC(C)C,0.01,1.0
143,36.986954,37.18,423.97,Train,CCCCCCCCC,0.01,1.0
144,40.731194,40.25,462.35,Train,CCCCCCCCC(C)C,0.01,1.0
145,39.53047,39.58,447.305,Train,CCCCCCCCCC,0.01,1.0
146,41.897614,41.91,469.078,Train,CCCCCCCCCCC,0.01,1.0
147,44.110577,44.09,489.473,Train,CCCCCCCCCCCC,0.01,1.0
148,46.192547,46.2,508.616,Train,CCCCCCCCCCCCC,0.01,1.0
149,48.17935,48.16,526.727,Train,CCCCCCCCCCCCCC,0.01,1.0
150,50.07635,50.08,543.835,Train,CCCCCCCCCCCCCCC,0.01,1.0
151,53.581493,53.58,575.3,Train,CCCCCCCCCCCCCCCCC,0.01,1.0
152,55.20632,55.23,589.86,Train,CCCCCCCCCCCCCCCCCC,0.01,1.0
153,58.224487,58.49,616.93,Train,CCCCCCCCCCCCCCCCCCCC,0.01,1.0
154,44.592594,44.5,429.9,Train,CCCCCCO,0.01,1.0
155,32.312496,32.02,372.0,Train,CCCCCOC,0.01,1.0
156,38.517902,38.42,421.15,Train,CCCCCOC(C)=O,0.01,1.0
157,34.14827,34.41,392.7,Train,CCCCCOCC,0.01,1.0
158,43.282272,43.29,391.9,Train,CCCCO,0.01,1.0
159,29.554043,29.55,343.31,Train,CCCCOC,0.01,1.0
160,35.412968,36.58,379.25,Train,CCCCOC=O,0.01,1.0
161,31.384731,31.63,365.35,Train,CCCCOCC,0.01,1.0
162,33.75792,33.72,390.3,Train,CCCCOCCC,0.01,1.0
163,36.279938,36.49,414.15,Train,CCCCOCCCC,0.01,1.0
164,26.718014,26.75,312.2,Train,CCCOC,0.01,1.0
165,35.68392,35.54,395.65,Train,CCCOC(=O)CC,0.01,1.0
166,33.970688,33.92,374.65,Train,CCCOC(C)=O,0.01,1.0
167,33.24184,33.61,353.97,Train,CCCOC=O,0.01,1.0
168,31.076796,31.31,363.23,Train,CCCOCCC,0.01,1.0
169,38.663452,38.56,351.44,Train,CCO,0.01,1.0
170,43.119545,42.0,458.61,Train,CCOC(=O)C(=O)OCC,0.01,1.0
171,34.550316,34.51,391.7,Train,CCOC(=O)C(C)(C)C,0.01,1.0
172,34.400787,33.67,383.0,Train,CCOC(=O)C(C)C,0.01,1.0
173,44.745216,54.8,472.05,Train,CCOC(=O)CC(=O)OCC,0.01,1.0
174,36.494316,37.0,407.45,Train,CCOC(=O)CC(C)C,0.01,1.0
175,27.853704,28.21,326.15,Train,CCOC(C)C,0.01,1.0
176,33.62273,36.28,376.65,Train,CCOC(C)OCC,0.01,1.0
177,26.239902,26.52,307.58,Train,CCOCC,0.01,1.0
178,43.419006,39.22,408.15,Train,CCOCCO,0.01,1.0
179,33.20671,34.33,376.65,Train,CCOCCOC,0.01,1.0
180,39.852196,40.76,429.74,Train,CCOCCOC(C)=O,0.01,1.0
181,34.820705,36.28,394.55,Train,CCOCCOCC,0.01,1.0
182,48.37384,47.5,475.05,Train,CCOCCOCCO,0.01,1.0
183,31.220589,31.33,360.65,Train,CCOCOCC,0.01,1.0
184,36.912228,36.17,413.15,Train,CCOCOCOCC,0.01,1.0
185,21.304918,21.51,248.31,Train,COC,0.01,1.0
186,33.06303,33.42,374.2,Train,COC(=O)C(C)(C)C,0.01,1.0
187,37.193527,37.13,408.15,Train,COC(=O)C1CCC1,0.01,1.0
188,47.943268,35.57,493.9,Train,COC(=O)c1ccccc1O,0.01,1.0
189,30.229382,30.32,330.09,Train,COC(C)=O,0.01,1.0
190,25.921669,26.05,303.92,Train,COC(C)C,0.01,1.0
191,28.409908,28.02,331.7,Train,COCC(C)C,0.01,1.0
192,43.774208,37.54,397.6,Train,COCCO,0.01,1.0
193,31.577375,32.42,357.75,Train,COCCOC,0.01,1.0
194,38.953262,43.9,417.7,Train,COCCOC(C)=O,0.01,1.0
195,48.361916,46.6,466.75,Train,COCCOCCO,0.01,1.0
196,39.762833,36.17,435.65,Train,COCCOCCOC,0.01,1.0
197,38.0882,38.97,426.73,Train,COc1ccccc1,0.01,1.0
198,38.71285,38.2,450.28,Train,Cc1ccc(C(C)C)cc1,0.01,1.0
199,46.521774,46.9,484.33,Train,Cc1ccc(C)c(O)c1,0.01,1.0
200,35.15195,35.67,411.51,Train,Cc1ccc(C)cc1,0.01,1.0
201,47.13836,47.45,475.133,Train,Cc1ccc(O)cc1,0.01,1.0
202,35.28293,35.66,412.27,Train,Cc1cccc(C)c1,0.01,1.0
203,47.01693,47.4,475.425,Train,Cc1cccc(O)c1,0.01,1.0
204,45.85639,45.5,517.833,Train,Cc1cccc2ccccc12,0.01,1.0
205,36.038612,36.24,417.58,Train,Cc1ccccc1C,0.01,1.0
206,44.94703,45.19,464.154,Train,Cc1ccccc1O,0.01,1.0
207,56.158905,53.6,596.39,Train,O=C(OCc1ccccc1)c1ccccc1,0.01,1.0
208,41.636658,42.5,451.9,Train,O=Cc1ccccc1,0.01,1.0
209,61.773685,61.0,550.0,Train,OCC(O)CO,0.01,1.0
210,59.241844,60.7,512.15,Train,OCCCCCO,0.01,1.0
211,56.841854,57.9,487.55,Train,OCCCO,0.01,1.0
212,59.494995,71.4,540.0,Train,OCCOCCOCCO,0.01,1.0
213,50.43976,50.48,478.6,Train,OCc1ccccc1,0.01,1.0
214,45.698227,45.69,454.99,Train,Oc1ccccc1,0.01,1.0
215,48.25303,48.2,531.46,Train,c1ccc(Oc2ccccc2)cc1,0.01,1.0
216,43.005074,43.9,480.77,Train,c1ccc2c(c1)CCCC2,0.01,1.0
217,43.04349,43.2,491.143,Train,c1ccc2ccccc2c1,0.01,1.0
218,30.606071,30.72,353.24,Train,c1ccccc1,0.01,1.0
219,27.251581,27.3,322.4,Valid,C1CCCC1,0.01,1.0
220,34.568947,34.37,378.15,Valid,C1COCOC1,0.01,1.0
221,33.991997,36.0,373.45,Valid,C=C(C)C(=O)OC,0.01,1.0
222,23.846273,24.02,284.0,Valid,C=C=CC,0.01,1.0
223,22.691635,22.47,268.74,Valid,C=CC=C,0.01,1.0
224,34.41117,36.3,377.15,Valid,C=CCOC(C)=O,0.01,1.0
225,36.27912,38.7,418.31,Valid,C=Cc1ccccc1,0.01,1.0
226,32.198856,32.35,367.55,Valid,CC(=O)C(C)C,0.01,1.0
227,35.985527,36.1,402.95,Valid,CC(=O)C=C(C)C,0.01,1.0
228,43.43028,43.98,475.26,Valid,CC(=O)c1ccccc1,0.01,1.0
229,34.00301,34.43,404.5,Valid,CC(C)CC(C)C(C)C,0.01,1.0
230,40.726177,44.2,404.85,Valid,CC(C)CC(C)O,0.01,1.0
231,33.273663,33.65,397.24,Valid,CC(C)CCC(C)(C)C,0.01,1.0
232,43.12106,44.46,424.95,Valid,CC(C)CCCO,0.01,1.0
233,42.587185,45.9,467.15,Valid,CC(C)CCOC(=O)CC(C)C,0.01,1.0
234,34.231388,33.6,371.22,Valid,CC(C)COC=O,0.01,1.0
235,33.232082,32.51,392.7,Valid,CC1(C)CCCCC1,0.01,1.0
236,32.883224,32.56,392.51,Valid,CC1CCC(C)CC1,0.01,1.0
237,33.05407,33.39,393.24,Valid,CC1CCCC(C)C1,0.01,1.0
238,34.852108,36.94,406.29,Valid,CCC#CCCCC,0.01,1.0
239,34.95518,36.09,398.15,Valid,CCC(=O)C(C)(C)C,0.01,1.0
240,34.018456,33.84,386.55,Valid,CCC(=O)C(C)C,0.01,1.0
241,40.2103,39.04,375.2,Valid,CCC(C)(C)O,0.01,1.0
242,28.125402,28.06,336.42,Valid,CCC(C)CC,0.01,1.0
243,30.845722,31.12,366.62,Valid,CCC(CC)CC,0.01,1.0
244,51.76984,52.84,469.57,Valid,CCC(O)CO,0.01,1.0
245,33.490185,33.2,394.672,Valid,CCC1(C)CCCC1,0.01,1.0
246,28.734938,28.67,343.75,Valid,CCC1CCC1,0.01,1.0
247,29.755087,30.3,336.574,Valid,CCC1CO1,0.01,1.0
248,41.099583,39.59,394.56,Valid,CCCC(C)(C)O,0.01,1.0
249,30.705944,30.9,365.0,Valid,CCCC(C)CC,0.01,1.0
250,33.101185,33.35,390.86,Valid,CCCC(C)CCC,0.01,1.0
251,34.2246,34.7,404.11,Valid,CCCC1CCCC1,0.01,1.0
252,35.83376,36.35,400.7,Valid,CCCCC(C)=O,0.01,1.0
253,37.043682,36.47,429.05,Valid,CCCCC(C)CC(C)C,0.01,1.0
254,43.68148,43.5,472.92,Valid,CCCCC(CC)COC(C)=O,0.01,1.0
255,40.809864,40.7,461.05,Valid,CCCCCCC(C)CCC,0.01,1.0
256,51.895573,51.84,560.014,Valid,CCCCCCCCCCCCCCCC,0.01,1.0
257,56.722767,56.93,603.05,Valid,CCCCCCCCCCCCCCCCCCC,0.01,1.0
258,35.14634,34.93,399.2,Valid,CCCCCCOC,0.01,1.0
259,42.922672,44.36,410.9,Valid,CCCCCO,0.01,1.0
260,36.34624,36.28,399.26,Valid,CCCCOC(C)=O,0.01,1.0
261,40.34179,38.87,456.455,Valid,CCCCc1ccccc1,0.01,1.0
262,41.62326,41.44,370.35,Valid,CCCO,0.01,1.0
263,28.839083,28.94,337.01,Valid,CCCOCC,0.01,1.0
264,43.638107,41.4,424.5,Valid,CCCOCCO,0.01,1.0
265,33.698048,33.88,372.25,Valid,CCOC(=O)CC,0.01,1.0
266,31.770977,31.94,350.21,Valid,CCOC(C)=O,0.01,1.0
267,30.809546,29.91,327.46,Valid,CCOC=O,0.01,1.0
268,32.9644,32.61,365.45,Valid,COC(=O)C(C)C,0.01,1.0
269,35.47843,35.25,388.0,Valid,COC(=O)C1CC1,0.01,1.0
270,27.79889,27.94,328.2,Valid,COC(C)(C)C,0.01,1.0
271,29.025852,27.92,304.9,Valid,COC=O,0.01,1.0
272,32.890293,33.18,383.78,Valid,Cc1ccccc1,0.01,1.0
273,36.189907,36.35,403.8,Valid,O=C1CCCC1,0.01,1.0
274,40.521152,43.2,434.85,Valid,O=Cc1ccco1,0.01,1.0
275,49.81619,45.2,450.8,Valid,OCC1CCCO1,0.01,1.0
276,53.79804,50.5,470.45,Valid,OCCO,0.01,1.0
277,47.12283,53.6,443.15,Valid,OCc1ccco1,0.01,1.0
278,39.69228,39.63,451.12,Valid,c1ccc2c(c1)CCC2,0.01,1.0
279,27.008867,27.1,304.5,Valid,c1ccoc1,0.01,1.0
280,27.251581,27.3,322.4,Test,C1CCCC1,0.01,1.0
281,34.568947,34.37,378.15,Test,C1COCOC1,0.01,1.0
282,33.99198,36.0,373.45,Test,C=C(C)C(=O)OC,0.01,1.0
283,23.846273,24.02,284.0,Test,C=C=CC,0.01,1.0
284,22.691635,22.47,268.74,Test,C=CC=C,0.01,1.0
285,34.411186,36.3,377.15,Test,C=CCOC(C)=O,0.01,1.0
286,36.279114,38.7,418.31,Test,C=Cc1ccccc1,0.01,1.0
287,32.198853,32.35,367.55,Test,CC(=O)C(C)C,0.01,1.0
288,35.985535,36.1,402.95,Test,CC(=O)C=C(C)C,0.01,1.0
289,43.43028,43.98,475.26,Test,CC(=O)c1ccccc1,0.01,1.0
290,34.003014,34.43,404.5,Test,CC(C)CC(C)C(C)C,0.01,1.0
291,40.726177,44.2,404.85,Test,CC(C)CC(C)O,0.01,1.0
292,33.273663,33.65,397.24,Test,CC(C)CCC(C)(C)C,0.01,1.0
293,43.12106,44.46,424.95,Test,CC(C)CCCO,0.01,1.0
294,42.587177,45.9,467.15,Test,CC(C)CCOC(=O)CC(C)C,0.01,1.0
295,34.23139,33.6,371.22,Test,CC(C)COC=O,0.01,1.0
296,33.232075,32.51,392.7,Test,CC1(C)CCCCC1,0.01,1.0
297,32.883217,32.56,392.51,Test,CC1CCC(C)CC1,0.01,1.0
298,33.054058,33.39,393.24,Test,CC1CCCC(C)C1,0.01,1.0
299,34.852116,36.94,406.29,Test,CCC#CCCCC,0.01,1.0
300,34.95518,36.09,398.15,Test,CCC(=O)C(C)(C)C,0.01,1.0
301,34.018456,33.84,386.55,Test,CCC(=O)C(C)C,0.01,1.0
302,40.210297,39.04,375.2,Test,CCC(C)(C)O,0.01,1.0
303,28.125402,28.06,336.42,Test,CCC(C)CC,0.01,1.0
304,30.845722,31.12,366.62,Test,CCC(CC)CC,0.01,1.0
305,51.769833,52.84,469.57,Test,CCC(O)CO,0.01,1.0
306,33.49019,33.2,394.672,Test,CCC1(C)CCCC1,0.01,1.0
307,28.734938,28.67,343.75,Test,CCC1CCC1,0.01,1.0
308,29.755081,30.3,336.574,Test,CCC1CO1,0.01,1.0
309,41.099586,39.59,394.56,Test,CCCC(C)(C)O,0.01,1.0
310,30.705946,30.9,365.0,Test,CCCC(C)CC,0.01,1.0
311,33.10119,33.35,390.86,Test,CCCC(C)CCC,0.01,1.0
312,34.2246,34.7,404.11,Test,CCCC1CCCC1,0.01,1.0
313,35.83376,36.35,400.7,Test,CCCCC(C)=O,0.01,1.0
314,37.043674,36.47,429.05,Test,CCCCC(C)CC(C)C,0.01,1.0
315,43.68149,43.5,472.92,Test,CCCCC(CC)COC(C)=O,0.01,1.0
316,40.809864,40.7,461.05,Test,CCCCCCC(C)CCC,0.01,1.0
317,51.89557,51.84,560.014,Test,CCCCCCCCCCCCCCCC,0.01,1.0
318,56.722775,56.93,603.05,Test,CCCCCCCCCCCCCCCCCCC,0.01,1.0
319,35.146343,34.93,399.2,Test,CCCCCCOC,0.01,1.0
320,42.922665,44.36,410.9,Test,CCCCCO,0.01,1.0
321,36.346245,36.28,399.26,Test,CCCCOC(C)=O,0.01,1.0
322,40.341785,38.87,456.455,Test,CCCCc1ccccc1,0.01,1.0
323,41.62325,41.44,370.35,Test,CCCO,0.01,1.0
324,28.839083,28.94,337.01,Test,CCCOCC,0.01,1.0
325,43.638123,41.4,424.5,Test,CCCOCCO,0.01,1.0
326,33.69806,33.88,372.25,Test,CCOC(=O)CC,0.01,1.0
327,31.77099,31.94,350.21,Test,CCOC(C)=O,0.01,1.0
328,30.809546,29.91,327.46,Test,CCOC=O,0.01,1.0
329,32.96441,32.61,365.45,Test,COC(=O)C(C)C,0.01,1.0
330,35.478436,35.25,388.0,Test,COC(=O)C1CC1,0.01,1.0
331,27.79889,27.94,328.2,Test,COC(C)(C)C,0.01,1.0
332,29.025852,27.92,304.9,Test,COC=O,0.01,1.0
333,32.89029,33.18,383.78,Test,Cc1ccccc1,0.01,1.0
334,36.189907,36.35,403.8,Test,O=C1CCCC1,0.01,1.0
335,40.52116,43.2,434.85,Test,O=Cc1ccco1,0.01,1.0
336,49.816196,45.2,450.8,Test,OCC1CCCO1,0.01,1.0
337,53.79804,50.5,470.45,Test,OCCO,0.01,1.0
338,47.122833,53.6,443.15,Test,OCc1ccco1,0.01,1.0
339,39.69228,39.63,451.12,Test,c1ccc2c(c1)CCC2,0.01,1.0
340,27.008871,27.1,304.5,Test,c1ccoc1,0.01,1.0
